embedding_model,model_name,precision,recall,f1-score
codebert,decision_tree,0.7575757575757575,0.4442778610694652,0.4332138590203107
codebert,svm,0.660455486542443,0.7069798434116276,0.6796701899676728
codebert,knn,0.4636015325670498,0.473263368315842,0.80166299828809
codebert,logistic_regression,0.8223180076628352,0.721472597034816,0.7606749816581071
codebert,gaussian_nb,0.5714285714285715,0.4412793603198401,0.8248775090880353
codebert,ensemble_learning,0.5958687323005164,0.5958687323005164,0.5958687323005164
albert,decision_tree,0.9333333333333332,0.925925925925926,0.9212962962962964
albert,svm,0.9629629629629628,0.9629629629629628,0.9607843137254902
albert,knn,0.8095238095238094,0.8425925925925926,0.8007575757575758
albert,logistic_regression,0.8916666666666666,0.9212962962962964,0.9016884531590412
albert,gaussian_nb,0.9333333333333332,0.8796296296296297,0.8957360722066605
albert,ensemble_learning,0.9629629629629628,0.9629629629629628,0.9607843137254902
bert,decision_tree,0.925925925925926,0.6666666666666666,0.625
bert,svm,0.925,0.6666666666666666,0.6269005847953216
bert,knn,0.8974358974358975,0.5714285714285715,0.5505050505050505
bert,logistic_regression,0.925,0.6666666666666666,0.6269005847953216
bert,gaussian_nb,0.925925925925926,0.6666666666666666,0.625
bert,ensemble_learning,0.925925925925926,0.6666666666666666,0.625
roberta,decision_tree,0.7996031746031745,0.8472222222222222,0.8083333333333332
roberta,svm,0.9333333333333332,0.8333333333333334,0.8518518518518517
roberta,knn,0.875,0.875,0.875
roberta,logistic_regression,0.9333333333333332,0.8333333333333334,0.8518518518518517
roberta,gaussian_nb,0.9629629629629628,0.9166666666666666,0.9327731092436974
roberta,ensemble_learning,0.9629629629629628,0.9166666666666666,0.9327731092436974
ft_codebert,decision_tree,0.8833333333333333,0.875,0.8769005847953216
ft_codebert,svm,0.9333333333333332,0.9583333333333334,0.9407407407407408
ft_codebert,knn,0.9629629629629628,0.9166666666666666,0.9327731092436974
ft_codebert,logistic_regression,0.9333333333333332,0.9583333333333334,0.9407407407407408
ft_codebert,gaussian_nb,0.9629629629629628,0.9166666666666666,0.9327731092436974
ft_codebert,ensemble_learning,0.9629629629629628,0.9166666666666666,0.9327731092436974
word2vec,decision_tree,0.9090909090909092,0.8888888888888888,0.8807017543859649
word2vec,svm,0.9629629629629628,0.9166666666666666,0.9327731092436974
word2vec,knn,0.7738095238095237,0.6944444444444445,0.6590909090909091
word2vec,logistic_regression,0.7777777777777777,0.7222222222222222,0.7238095238095239
word2vec,gaussian_nb,0.8611111111111112,0.7916666666666666,0.8095238095238094
word2vec,ensemble_learning,0.9090909090909092,0.8425925925925926,0.8580827067669173
