label,precision,recall,f1-score,support,model_name
Application,0.8,1.0,0.888888888888889,8.0,decision_tree
Utility,1.0,1.0,1.0,4.0,decision_tree
Entity,1.0,0.7777777777777778,0.8750000000000001,9.0,decision_tree
accuracy,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,decision_tree
macro avg,0.9333333333333332,0.925925925925926,0.9212962962962964,21.0,decision_tree
weighted avg,0.9238095238095236,0.9047619047619048,0.9041005291005292,21.0,decision_tree
Application,0.8888888888888888,1.0,0.9411764705882352,8.0,svm
Utility,1.0,1.0,1.0,4.0,svm
Entity,1.0,0.8888888888888888,0.9411764705882352,9.0,svm
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,svm
macro avg,0.9629629629629628,0.9629629629629628,0.9607843137254902,21.0,svm
weighted avg,0.9576719576719576,0.9523809523809524,0.9523809523809524,21.0,svm
Application,0.8571428571428571,0.75,0.7999999999999999,8.0,knn
Utility,0.5714285714285714,1.0,0.7272727272727273,4.0,knn
Entity,1.0,0.7777777777777778,0.8750000000000001,9.0,knn
accuracy,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,knn
macro avg,0.8095238095238094,0.8425925925925926,0.8007575757575758,21.0,knn
weighted avg,0.8639455782312925,0.8095238095238095,0.8182900432900433,21.0,knn
Application,0.875,0.875,0.875,8.0,logistic_regression
Utility,0.8,1.0,0.888888888888889,4.0,logistic_regression
Entity,1.0,0.8888888888888888,0.9411764705882352,9.0,logistic_regression
accuracy,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,logistic_regression
macro avg,0.8916666666666666,0.9212962962962964,0.9016884531590412,21.0,logistic_regression
weighted avg,0.9142857142857144,0.9047619047619048,0.9060068471833178,21.0,logistic_regression
Application,0.8,1.0,0.888888888888889,8.0,gaussian_nb
Utility,1.0,0.75,0.8571428571428571,4.0,gaussian_nb
Entity,1.0,0.8888888888888888,0.9411764705882352,9.0,gaussian_nb
accuracy,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,gaussian_nb
macro avg,0.9333333333333332,0.8796296296296297,0.8957360722066605,21.0,gaussian_nb
weighted avg,0.9238095238095236,0.9047619047619048,0.9052509892846028,21.0,gaussian_nb
Application,0.8888888888888888,1.0,0.9411764705882353,8.0,ensemble_learning
Utility,1.0,1.0,1.0,4.0,ensemble_learning
Entity,1.0,0.8888888888888888,0.9411764705882353,9.0,ensemble_learning
accuracy,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,ensemble_learning
macro avg,0.9629629629629629,0.9629629629629629,0.9607843137254902,21.0,ensemble_learning
weighted avg,0.9576719576719577,0.9523809523809523,0.9523809523809523,21.0,ensemble_learning
