label,precision,recall,f1-score,support,model_name
Application,1.0,1.0,1.0,9.0,decision_tree
Utility,1.0,0.0,0.0,2.0,decision_tree
Entity,0.7777777777777778,1.0,0.8750000000000001,7.0,decision_tree
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,decision_tree
macro avg,0.925925925925926,0.6666666666666666,0.625,18.0,decision_tree
weighted avg,0.9135802469135802,0.8888888888888888,0.8402777777777778,18.0,decision_tree
Application,0.9,1.0,0.9473684210526316,9.0,svm
Utility,1.0,0.0,0.0,2.0,svm
Entity,0.875,1.0,0.9333333333333332,7.0,svm
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,svm
macro avg,0.925,0.6666666666666666,0.6269005847953216,18.0,svm
weighted avg,0.901388888888889,0.8888888888888888,0.8366471734892788,18.0,svm
Application,0.6923076923076923,1.0,0.8181818181818181,9.0,knn
Utility,1.0,0.0,0.0,2.0,knn
Entity,1.0,0.7142857142857143,0.8333333333333333,7.0,knn
accuracy,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7777777777777778,knn
macro avg,0.8974358974358975,0.5714285714285715,0.5505050505050505,18.0,knn
weighted avg,0.8461538461538461,0.7777777777777778,0.7331649831649831,18.0,knn
Application,0.9,1.0,0.9473684210526316,9.0,logistic_regression
Utility,1.0,0.0,0.0,2.0,logistic_regression
Entity,0.875,1.0,0.9333333333333332,7.0,logistic_regression
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,logistic_regression
macro avg,0.925,0.6666666666666666,0.6269005847953216,18.0,logistic_regression
weighted avg,0.901388888888889,0.8888888888888888,0.8366471734892788,18.0,logistic_regression
Application,1.0,1.0,1.0,9.0,gaussian_nb
Utility,1.0,0.0,0.0,2.0,gaussian_nb
Entity,0.7777777777777778,1.0,0.8750000000000001,7.0,gaussian_nb
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,gaussian_nb
macro avg,0.925925925925926,0.6666666666666666,0.625,18.0,gaussian_nb
weighted avg,0.9135802469135802,0.8888888888888888,0.8402777777777778,18.0,gaussian_nb
Application,1.0,1.0,1.0,9.0,ensemble_learning
Utility,1.0,0.0,0.0,2.0,ensemble_learning
Entity,0.7777777777777778,1.0,0.8750000000000001,7.0,ensemble_learning
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,ensemble_learning
macro avg,0.9259259259259259,0.6666666666666666,0.625,18.0,ensemble_learning
weighted avg,0.9135802469135802,0.8888888888888888,0.8402777777777778,18.0,ensemble_learning
