label,precision,recall,f1-score,support,model_name
Application,1.0,0.875,0.9333333333333332,8.0,decision_tree
Utility,0.8,1.0,0.888888888888889,4.0,decision_tree
Entity,1.0,1.0,1.0,9.0,decision_tree
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,decision_tree
macro avg,0.9333333333333332,0.9583333333333334,0.9407407407407408,21.0,decision_tree
weighted avg,0.9619047619047618,0.9523809523809524,0.9534391534391534,21.0,decision_tree
Application,1.0,0.875,0.9333333333333332,8.0,svm
Utility,0.8,1.0,0.888888888888889,4.0,svm
Entity,1.0,1.0,1.0,9.0,svm
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,svm
macro avg,0.9333333333333332,0.9583333333333334,0.9407407407407408,21.0,svm
weighted avg,0.9619047619047618,0.9523809523809524,0.9534391534391534,21.0,svm
Application,0.7272727272727273,1.0,0.8421052631578948,8.0,knn
Utility,1.0,1.0,1.0,4.0,knn
Entity,1.0,0.6666666666666666,0.8,9.0,knn
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,knn
macro avg,0.9090909090909092,0.8888888888888888,0.8807017543859649,21.0,knn
weighted avg,0.8961038961038962,0.8571428571428571,0.8541353383458646,21.0,knn
Application,1.0,0.875,0.9333333333333332,8.0,logistic_regression
Utility,0.8,1.0,0.888888888888889,4.0,logistic_regression
Entity,1.0,1.0,1.0,9.0,logistic_regression
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,logistic_regression
macro avg,0.9333333333333332,0.9583333333333334,0.9407407407407408,21.0,logistic_regression
weighted avg,0.9619047619047618,0.9523809523809524,0.9534391534391534,21.0,logistic_regression
Application,1.0,1.0,1.0,8.0,gaussian_nb
Utility,1.0,1.0,1.0,4.0,gaussian_nb
Entity,1.0,1.0,1.0,9.0,gaussian_nb
accuracy,1.0,1.0,1.0,1.0,gaussian_nb
macro avg,1.0,1.0,1.0,21.0,gaussian_nb
weighted avg,1.0,1.0,1.0,21.0,gaussian_nb
Application,1.0,0.875,0.9333333333333333,8.0,ensemble_learning
Utility,0.8,1.0,0.888888888888889,4.0,ensemble_learning
Entity,1.0,1.0,1.0,9.0,ensemble_learning
accuracy,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,ensemble_learning
macro avg,0.9333333333333332,0.9583333333333334,0.9407407407407408,21.0,ensemble_learning
weighted avg,0.9619047619047618,0.9523809523809523,0.9534391534391534,21.0,ensemble_learning
