label,precision,recall,f1-score,support,model_name
Application,1.0,0.875,0.9333333333333332,8.0,decision_tree
Utility,0.75,0.75,0.75,4.0,decision_tree
Entity,0.9,1.0,0.9473684210526316,9.0,decision_tree
accuracy,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,decision_tree
macro avg,0.8833333333333333,0.875,0.8769005847953216,21.0,decision_tree
weighted avg,0.9095238095238096,0.9047619047619048,0.9044277360066836,21.0,decision_tree
Application,1.0,0.875,0.9333333333333332,8.0,svm
Utility,0.8,1.0,0.888888888888889,4.0,svm
Entity,1.0,1.0,1.0,9.0,svm
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,svm
macro avg,0.9333333333333332,0.9583333333333334,0.9407407407407408,21.0,svm
weighted avg,0.9619047619047618,0.9523809523809524,0.9534391534391534,21.0,svm
Application,0.8888888888888888,1.0,0.9411764705882352,8.0,knn
Utility,1.0,0.75,0.8571428571428571,4.0,knn
Entity,1.0,1.0,1.0,9.0,knn
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,knn
macro avg,0.9629629629629628,0.9166666666666666,0.9327731092436974,21.0,knn
weighted avg,0.9576719576719576,0.9523809523809524,0.9503801520608244,21.0,knn
Application,1.0,0.875,0.9333333333333332,8.0,logistic_regression
Utility,0.8,1.0,0.888888888888889,4.0,logistic_regression
Entity,1.0,1.0,1.0,9.0,logistic_regression
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,logistic_regression
macro avg,0.9333333333333332,0.9583333333333334,0.9407407407407408,21.0,logistic_regression
weighted avg,0.9619047619047618,0.9523809523809524,0.9534391534391534,21.0,logistic_regression
Application,0.8888888888888888,1.0,0.9411764705882352,8.0,gaussian_nb
Utility,1.0,0.75,0.8571428571428571,4.0,gaussian_nb
Entity,1.0,1.0,1.0,9.0,gaussian_nb
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,gaussian_nb
macro avg,0.9629629629629628,0.9166666666666666,0.9327731092436974,21.0,gaussian_nb
weighted avg,0.9576719576719576,0.9523809523809524,0.9503801520608244,21.0,gaussian_nb
Application,0.8888888888888888,1.0,0.9411764705882353,8.0,ensemble_learning
Utility,1.0,0.75,0.8571428571428571,4.0,ensemble_learning
Entity,1.0,1.0,1.0,9.0,ensemble_learning
accuracy,0.9523809523809523,0.9523809523809523,0.9523809523809523,0.9523809523809523,ensemble_learning
macro avg,0.9629629629629629,0.9166666666666666,0.9327731092436974,21.0,ensemble_learning
weighted avg,0.9576719576719577,0.9523809523809523,0.9503801520608244,21.0,ensemble_learning
