class_name,service
com.rafsan.inventory.controller.admin.AdminController,Application Service 1
com.rafsan.inventory.controller.purchase.AddController,Application Service 2
com.rafsan.inventory.controller.purchase.PurchaseController,Application Service 2
com.rafsan.inventory.interfaces.PurchaseInterface,Application Service 2
com.rafsan.inventory.interfaces.SaleInterface,Application Service 3
com.rafsan.inventory.controller.sales.SalesController,Application Service 3
com.rafsan.inventory.MainApp,Application Service 4
com.rafsan.inventory.controller.report.ViewController,Application Service 5
com.rafsan.inventory.controller.product.AddController,Application Service 6
com.rafsan.inventory.controller.pos.PosController,Application Service 6
com.rafsan.inventory.controller.product.EditController,Application Service 6
com.rafsan.inventory.controller.product.ProductController,Application Service 6
com.rafsan.inventory.interfaces.ProductInterface,Application Service 6
com.rafsan.inventory.controller.supplier.EditController,Application Service 7
com.rafsan.inventory.controller.supplier.SupplierController,Application Service 7
com.rafsan.inventory.controller.supplier.AddController,Application Service 7
com.rafsan.inventory.interfaces.SupplierInterface,Application Service 7
com.rafsan.inventory.interfaces.EmployeeInterface,Application Service 8
com.rafsan.inventory.controller.employee.AddController,Application Service 8
com.rafsan.inventory.controller.employee.EmployeeController,Application Service 8
com.rafsan.inventory.controller.employee.EditController,Application Service 8
com.rafsan.inventory.interfaces.ReportInterface,Application Service 9
com.rafsan.inventory.controller.report.ReportController,Application Service 9
com.rafsan.inventory.controller.pos.InvoiceController,Application Service 10
com.rafsan.inventory.controller.category.EditController,Application Service 11
com.rafsan.inventory.controller.category.CategoryController,Application Service 11
com.rafsan.inventory.interfaces.CategoryInterface,Application Service 11
com.rafsan.inventory.controller.category.AddController,Application Service 11
com.rafsan.inventory.controller.pos.ConfirmController,Application Service 12
com.rafsan.inventory.model.CategoryModel,Entity Service 1
com.rafsan.inventory.dao.CategoryDao,Entity Service 1
com.rafsan.inventory.entity.Product,Entity Service 2
com.rafsan.inventory.model.ProductModel,Entity Service 2
com.rafsan.inventory.dao.ProductDao,Entity Service 2
com.rafsan.inventory.entity.Sale,Entity Service 3
com.rafsan.inventory.model.SalesModel,Entity Service 3
com.rafsan.inventory.dao.SaleDao,Entity Service 3
com.rafsan.inventory.entity.Supplier,Entity Service 4
com.rafsan.inventory.model.SupplierModel,Entity Service 4
com.rafsan.inventory.dao.SupplierDao,Entity Service 4
com.rafsan.inventory.entity.Employee,Entity Service 5
com.rafsan.inventory.model.EmployeeModel,Entity Service 5
com.rafsan.inventory.dao.EmployeeDao,Entity Service 5
com.rafsan.inventory.entity.Category,Entity Service 6
com.rafsan.inventory.entity.Purchase,Entity Service 7
com.rafsan.inventory.model.PurchaseModel,Entity Service 7
com.rafsan.inventory.dao.PurchaseDao,Entity Service 7
com.rafsan.inventory.entity.Item,Entity Service 8
com.rafsan.inventory.model.InvoiceModel,Entity Service 9
com.rafsan.inventory.dao.InvoiceDao,Entity Service 9
com.rafsan.inventory.entity.Invoice,Entity Service 10
com.rafsan.inventory.entity.Payment,Entity Service 11
