class1,class2,static_distance,semantic_distance
com.rafsan.inventory.controller.product.AddController,com.rafsan.inventory.model.CategoryModel,0.10526315789473684,0.6292300312517224
com.rafsan.inventory.controller.supplier.EditController,com.rafsan.inventory.entity.Supplier,0.3157894736842105,0.7030822692247709
com.rafsan.inventory.controller.pos.PosController,com.rafsan.inventory.model.ProductModel,0.15789473684210525,0.7508362282714001
com.rafsan.inventory.controller.supplier.SupplierController,com.rafsan.inventory.model.SupplierModel,0.21052631578947367,0.8015495362043337
com.itextpdf.text.pdf.PdfWriter,com.itextpdf.text.pdf.interfaces.PdfViewerPreferences,1.0,0.0
com.rafsan.inventory.controller.report.ReportController,com.rafsan.inventory.controller.report.ReportController,0.47368421052631576,1.0
com.itextpdf.text.DocWriter,com.itextpdf.text.DocListener,1.0,0.0
com.rafsan.inventory.controller.product.EditController,com.rafsan.inventory.model.CategoryModel,0.10526315789473684,0.6471179271935763
com.rafsan.inventory.model.CategoryModel,com.rafsan.inventory.dao.CategoryDao,1.0,0.5449288524835769
com.rafsan.inventory.controller.supplier.EditController,com.rafsan.inventory.interfaces.SupplierInterface,1.0,0.46870297618631585
com.rafsan.inventory.controller.employee.EditController,com.rafsan.inventory.entity.Employee,0.47368421052631576,0.5632447592158157
com.rafsan.inventory.controller.employee.EditController,com.rafsan.inventory.interfaces.EmployeeInterface,1.0,0.5256760989219503
com.rafsan.inventory.controller.pos.InvoiceController,com.rafsan.inventory.model.EmployeeModel,0.15789473684210525,0.7730595517534198
com.rafsan.inventory.controller.product.ProductController,com.rafsan.inventory.controller.product.ProductController,0.47368421052631576,1.0
com.rafsan.inventory.model.InvoiceModel,com.rafsan.inventory.dao.InvoiceDao,1.0,0.6538514824504021
com.rafsan.inventory.controller.product.ProductController,com.rafsan.inventory.controller.product.EditController,0.05263157894736842,0.858667026957116
com.rafsan.inventory.entity.Sale,com.rafsan.inventory.entity.Invoice,0.05263157894736842,0.8065991816329583
com.rafsan.inventory.controller.employee.AddController,com.rafsan.inventory.entity.Employee,0.0,0.5151691046540624
com.rafsan.inventory.pdf.PrintInvoice,com.itextpdf.text.pdf.BarcodeEAN,0.0,0.0
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.model.CategoryModel,0.21052631578947367,0.6405507277618249
com.rafsan.inventory.controller.admin.AdminController,com.rafsan.inventory.model.InvoiceModel,0.15789473684210525,0.7547305245466791
com.rafsan.inventory.interfaces.EmployeeInterface,com.rafsan.inventory.entity.Employee,0.05263157894736842,0.47147583071916177
com.rafsan.inventory.model.PurchaseModel,com.rafsan.inventory.entity.Purchase,0.3684210526315789,0.8774482352767254
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.interfaces.CategoryInterface,1.0,0.35935073005075474
com.rafsan.inventory.controller.employee.EmployeeController,com.rafsan.inventory.entity.Employee,0.7894736842105263,0.6090290806614478
com.rafsan.inventory.model.EmployeeModel,com.rafsan.inventory.dao.EmployeeDao,1.0,0.6454430515636167
com.rafsan.inventory.controller.product.AddController,com.rafsan.inventory.entity.Product,0.0,0.8803703656548932
com.rafsan.inventory.controller.admin.AdminController,com.rafsan.inventory.entity.Product,0.21052631578947367,0.8370657360232674
com.rafsan.inventory.model.EmployeeModel,com.rafsan.inventory.HibernateUtil,0.3684210526315789,0.6204811795735268
com.itextpdf.text.pdf.PdfWriter,com.itextpdf.text.pdf.interfaces.PdfRunDirection,1.0,0.0
com.rafsan.inventory.controller.category.AddController,com.rafsan.inventory.model.CategoryModel,0.21052631578947367,0.6398761450399496
com.rafsan.inventory.controller.product.AddController,com.rafsan.inventory.model.SupplierModel,0.10526315789473684,0.7253480315046014
com.rafsan.inventory.interfaces.ProductInterface,com.rafsan.inventory.entity.Product,0.05263157894736842,0.4800016676720746
com.rafsan.inventory.controller.pos.InvoiceController,com.rafsan.inventory.entity.Payment,0.2631578947368421,0.3255132173102708
com.rafsan.inventory.entity.Product,com.rafsan.inventory.entity.Supplier,0.05263157894736842,0.7947833846563807
com.rafsan.inventory.model.PurchaseModel,com.rafsan.inventory.dao.PurchaseDao,1.0,0.7342208223419584
com.rafsan.inventory.controller.pos.PosController,com.rafsan.inventory.entity.Item,0.631578947368421,0.6738023642953498
com.rafsan.inventory.controller.employee.AddController,com.rafsan.inventory.interfaces.EmployeeInterface,1.0,0.5964717343446762
com.rafsan.inventory.controller.supplier.EditController,com.rafsan.inventory.controller.supplier.EditController,0.15789473684210525,1.0
com.itextpdf.text.pdf.PdfWriter,com.itextpdf.text.pdf.interfaces.PdfPageActions,1.0,0.0
com.rafsan.inventory.controller.purchase.AddController,com.rafsan.inventory.model.PurchaseModel,0.21052631578947367,0.855586378035667
com.itextpdf.text.pdf.PdfPCell,com.itextpdf.text.pdf.interfaces.IAccessibleElement,1.0,0.0
com.rafsan.inventory.controller.supplier.SupplierController,com.rafsan.inventory.interfaces.SupplierInterface,1.0,0.3569560393215441
com.rafsan.inventory.controller.employee.AddController,com.rafsan.inventory.model.EmployeeModel,0.21052631578947367,0.7737643313982765
com.rafsan.inventory.controller.purchase.PurchaseController,com.rafsan.inventory.interfaces.PurchaseInterface,1.0,0.2875036271463623
com.rafsan.inventory.controller.category.AddController,com.rafsan.inventory.interfaces.CategoryInterface,1.0,0.6009979583282083
com.rafsan.inventory.controller.product.EditController,com.rafsan.inventory.model.SupplierModel,0.10526315789473684,0.7703573878028694
com.rafsan.inventory.model.SupplierModel,com.rafsan.inventory.entity.Supplier,0.2631578947368421,0.7749767049567448
com.rafsan.inventory.controller.purchase.AddController,com.rafsan.inventory.model.SupplierModel,0.10526315789473684,0.7348595838775532
com.rafsan.inventory.entity.Purchase,com.rafsan.inventory.entity.Supplier,0.05263157894736842,0.8474553598090553
com.rafsan.inventory.controller.pos.InvoiceController,com.rafsan.inventory.entity.Product,0.0,0.8193113446049474
com.rafsan.inventory.controller.product.ProductController,com.rafsan.inventory.entity.Product,0.8421052631578947,0.8745233836969142
com.rafsan.inventory.model.SalesModel,com.rafsan.inventory.HibernateUtil,0.2631578947368421,0.4469135156244114
com.rafsan.inventory.controller.sales.SalesController,com.rafsan.inventory.controller.sales.SalesController,0.47368421052631576,1.0
com.rafsan.inventory.controller.product.AddController,com.rafsan.inventory.interfaces.ProductInterface,1.0,0.4452551500889098
com.itextpdf.text.pdf.PdfWriter,com.itextpdf.text.pdf.interfaces.PdfDocumentActions,1.0,0.0
com.itextpdf.text.Paragraph,com.itextpdf.text.api.Spaceable,1.0,0.0
com.rafsan.inventory.controller.product.AddController,com.rafsan.inventory.model.ProductModel,0.21052631578947367,0.7555762943556988
com.itextpdf.text.pdf.PdfPTable,com.itextpdf.text.pdf.interfaces.IAccessibleElement,1.0,0.0
com.rafsan.inventory.controller.purchase.AddController,com.rafsan.inventory.interfaces.PurchaseInterface,1.0,0.43117872708779253
com.rafsan.inventory.interfaces.SupplierInterface,com.rafsan.inventory.entity.Supplier,0.05263157894736842,0.4978311995257758
com.itextpdf.text.Document,com.itextpdf.text.DocListener,1.0,0.0
com.rafsan.inventory.controller.employee.AddController,com.rafsan.inventory.controller.employee.AddController,0.0,1.0
com.rafsan.inventory.controller.pos.InvoiceController,com.rafsan.inventory.entity.Sale,0.0,0.8058183296489855
com.itextpdf.text.pdf.PdfPCell,com.itextpdf.text.Rectangle,1.0,0.0
com.rafsan.inventory.controller.pos.PosController,com.rafsan.inventory.controller.pos.PosController,0.8421052631578947,1.0
com.rafsan.inventory.model.SupplierModel,com.rafsan.inventory.HibernateUtil,0.2631578947368421,0.7248423349854977
com.rafsan.inventory.controller.product.EditController,com.rafsan.inventory.model.ProductModel,0.15789473684210525,0.773970480085269
com.itextpdf.text.TextElementArray,com.itextpdf.text.Element,1.0,0.0
com.rafsan.inventory.entity.Purchase,com.rafsan.inventory.entity.Product,0.05263157894736842,0.9483902567170238
com.itextpdf.text.Paragraph,com.itextpdf.text.api.Indentable,1.0,0.0
com.rafsan.inventory.model.ProductModel,com.rafsan.inventory.HibernateUtil,0.42105263157894735,0.6645045001791705
com.rafsan.inventory.MainApp,com.rafsan.inventory.HibernateUtil,0.05263157894736842,0.6859992251907518
com.rafsan.inventory.controller.report.ViewController,com.rafsan.inventory.entity.Invoice,0.5263157894736842,0.7868213353569792
com.itextpdf.text.LargeElement,com.itextpdf.text.Element,1.0,0.0
com.rafsan.inventory.controller.employee.EmployeeController,com.rafsan.inventory.controller.employee.EditController,0.05263157894736842,0.8990203681594114
com.rafsan.inventory.model.PurchaseModel,com.rafsan.inventory.HibernateUtil,0.21052631578947367,0.8108534305168427
com.rafsan.inventory.controller.purchase.AddController,com.rafsan.inventory.model.ProductModel,0.15789473684210525,0.7005719405721833
com.rafsan.inventory.controller.admin.AdminController,com.rafsan.inventory.entity.Invoice,0.0,0.7272943705696283
com.rafsan.inventory.controller.category.AddController,com.rafsan.inventory.controller.category.AddController,0.0,1.0
com.rafsan.inventory.controller.report.ReportController,com.rafsan.inventory.entity.Invoice,1.0,0.651658869064297
com.itextpdf.text.pdf.BarcodeEAN,com.itextpdf.text.pdf.Barcode,1.0,0.0
com.itextpdf.text.DocListener,com.itextpdf.text.ElementListener,1.0,0.0
com.rafsan.inventory.controller.employee.EmployeeController,com.rafsan.inventory.model.EmployeeModel,0.21052631578947367,0.8827479208555733
com.rafsan.inventory.model.InvoiceModel,com.rafsan.inventory.HibernateUtil,0.15789473684210525,0.6948334900518716
com.rafsan.inventory.interfaces.ReportInterface,com.rafsan.inventory.entity.Invoice,0.05263157894736842,0.44294823270103884
com.rafsan.inventory.controller.product.AddController,com.rafsan.inventory.controller.product.AddController,0.0,1.0
com.rafsan.inventory.controller.purchase.AddController,com.rafsan.inventory.entity.Product,0.05263157894736842,0.859721369126338
com.itextpdf.text.Paragraph,com.itextpdf.text.pdf.interfaces.IAccessibleElement,1.0,0.0
com.rafsan.inventory.controller.pos.InvoiceController,com.rafsan.inventory.model.ProductModel,0.21052631578947367,0.7111526261895967
com.rafsan.inventory.pdf.PrintInvoice,com.itextpdf.text.pdf.PdfPTable,0.47368421052631576,0.0
com.itextpdf.text.pdf.PdfPTable,com.itextpdf.text.api.Spaceable,1.0,0.0
com.itextpdf.text.Rectangle,com.itextpdf.text.Element,1.0,0.0
com.rafsan.inventory.pdf.PrintInvoice,com.rafsan.inventory.pdf.PrintInvoice,0.05263157894736842,1.0
com.rafsan.inventory.controller.product.EditController,com.rafsan.inventory.entity.Product,0.47368421052631576,0.819179294581443
com.rafsan.inventory.interfaces.CategoryInterface,com.rafsan.inventory.entity.Category,0.05263157894736842,0.6189810874844393
com.rafsan.inventory.pdf.PrintInvoice,com.itextpdf.text.Document,0.2631578947368421,0.0
com.itextpdf.text.pdf.PdfWriter,com.itextpdf.text.DocWriter,1.0,0.0
com.rafsan.inventory.pdf.PrintInvoice,com.itextpdf.text.Paragraph,0.10526315789473684,0.0
com.rafsan.inventory.controller.login.LoginController,com.rafsan.inventory.model.EmployeeModel,0.21052631578947367,0.8064442846712352
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.controller.category.CategoryController,0.47368421052631576,1.0
com.rafsan.inventory.controller.category.EditController,com.rafsan.inventory.interfaces.CategoryInterface,1.0,0.4700956146372366
com.rafsan.inventory.controller.category.EditController,com.rafsan.inventory.model.CategoryModel,0.15789473684210525,0.7624053428437259
com.rafsan.inventory.controller.pos.InvoiceController,com.rafsan.inventory.controller.pos.ConfirmController,0.05263157894736842,0.7196435025211543
com.rafsan.inventory.controller.report.ReportController,com.rafsan.inventory.model.InvoiceModel,0.15789473684210525,0.6627336564791393
com.rafsan.inventory.controller.purchase.PurchaseController,com.rafsan.inventory.controller.purchase.PurchaseController,0.47368421052631576,1.0
com.rafsan.inventory.entity.Invoice,com.rafsan.inventory.entity.Employee,0.05263157894736842,0.8392508579625322
com.rafsan.inventory.controller.report.ReportController,com.rafsan.inventory.interfaces.ReportInterface,1.0,0.47425650329946617
com.rafsan.inventory.controller.product.ProductController,com.rafsan.inventory.model.ProductModel,0.21052631578947367,0.8712072136010939
com.rafsan.inventory.entity.Sale,com.rafsan.inventory.entity.Product,0.05263157894736842,0.9620237035025142
com.rafsan.inventory.controller.product.ProductController,com.rafsan.inventory.entity.Sale,0.0,0.868873227384939
com.rafsan.inventory.controller.sales.SalesController,com.rafsan.inventory.model.SalesModel,0.15789473684210525,0.4945387957379194
com.rafsan.inventory.controller.product.EditController,com.rafsan.inventory.entity.Supplier,0.0,0.6713856575813694
com.rafsan.inventory.interfaces.SaleInterface,com.rafsan.inventory.entity.Sale,0.05263157894736842,0.5173397533445243
com.rafsan.inventory.controller.supplier.AddController,com.rafsan.inventory.controller.supplier.AddController,0.0,1.0
com.rafsan.inventory.entity.Product,com.rafsan.inventory.entity.Category,0.05263157894736842,0.7900165326651898
com.rafsan.inventory.controller.pos.ConfirmController,com.rafsan.inventory.pdf.PrintInvoice,0.05263157894736842,0.8003098211387739
com.rafsan.inventory.controller.supplier.SupplierController,com.rafsan.inventory.controller.supplier.SupplierController,0.47368421052631576,1.0
com.itextpdf.text.pdf.PdfWriter,com.itextpdf.text.pdf.interfaces.PdfAnnotations,1.0,0.0
com.rafsan.inventory.controller.supplier.AddController,com.rafsan.inventory.interfaces.SupplierInterface,1.0,0.5225784918160965
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.controller.category.EditController,0.05263157894736842,0.8440521158296761
com.rafsan.inventory.model.ProductModel,com.rafsan.inventory.entity.Product,0.6842105263157895,0.8348095454850398
com.itextpdf.text.pdf.PdfPTable,com.itextpdf.text.LargeElement,1.0,0.0
com.itextpdf.text.Paragraph,com.itextpdf.text.Phrase,1.0,0.0
com.rafsan.inventory.controller.pos.ConfirmController,com.rafsan.inventory.entity.Item,0.2631578947368421,0.7496262110764688
com.rafsan.inventory.model.CategoryModel,com.rafsan.inventory.HibernateUtil,0.2631578947368421,0.7051006801059848
com.rafsan.inventory.controller.category.AddController,com.rafsan.inventory.entity.Category,0.0,0.7857507733454443
com.itextpdf.text.pdf.PdfWriter,com.itextpdf.text.pdf.interfaces.PdfVersion,1.0,0.0
com.rafsan.inventory.controller.product.EditController,com.rafsan.inventory.controller.product.EditController,0.15789473684210525,1.0
com.rafsan.inventory.controller.supplier.SupplierController,com.rafsan.inventory.entity.Supplier,0.47368421052631576,0.7350815359697263
com.rafsan.inventory.controller.purchase.PurchaseController,com.rafsan.inventory.model.PurchaseModel,0.15789473684210525,0.8569804551342706
com.rafsan.inventory.controller.login.LoginController,com.rafsan.inventory.controller.login.LoginController,0.3157894736842105,1.0
com.rafsan.inventory.controller.supplier.AddController,com.rafsan.inventory.entity.Supplier,0.0,0.7377972661605086
com.rafsan.inventory.controller.category.EditController,com.rafsan.inventory.entity.Category,0.2631578947368421,0.7572053945616835
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.entity.Category,0.3684210526315789,0.6844051452683352
com.rafsan.inventory.controller.pos.InvoiceController,com.rafsan.inventory.controller.pos.InvoiceController,0.0,1.0
com.rafsan.inventory.model.SalesModel,com.rafsan.inventory.entity.Sale,0.47368421052631576,0.6582145139394225
