class1,class2,static_distance,semantic_distance
org.springframework.samples.petclinic.owner.OwnerControllerTests,org.springframework.samples.petclinic.owner.Owner,0.13333333333333333,0.0
org.springframework.samples.petclinic.owner.PetTypeFormatterTests,org.assertj.core.api.Assertions,0.022222222222222223,0.0
org.springframework.samples.petclinic.system.CrashControllerIntegrationTests,org.springframework.http.HttpStatusCode,0.022222222222222223,0.0
org.springframework.context.ApplicationContextAware,org.springframework.beans.factory.Aware,0.4222222222222222,0.0
org.springframework.samples.petclinic.service.ClinicServiceTests,org.springframework.samples.petclinic.owner.OwnerRepository,0.26666666666666666,0.0
org.springframework.samples.petclinic.owner.PetValidator,org.springframework.samples.petclinic.model.BaseEntity,0.0,0.0
org.springframework.samples.petclinic.owner.OwnerControllerTests,org.springframework.test.web.servlet.ResultActions,1.0,0.0
org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.model.BaseEntity,0.044444444444444446,0.0
org.springframework.samples.petclinic.model.ValidatorTests,org.springframework.samples.petclinic.model.Person,0.044444444444444446,0.0
org.springframework.samples.petclinic.vet.VetControllerTests,org.springframework.samples.petclinic.vet.VetRepository,0.06666666666666667,0.0
org.springframework.samples.petclinic.vet.VetControllerTests,org.springframework.test.web.servlet.result.MockMvcResultMatchers,0.08888888888888889,0.0
org.springframework.samples.petclinic.vet.VetControllerTests,org.springframework.test.web.servlet.ResultActions,0.08888888888888889,0.0
org.springframework.samples.petclinic.owner.VisitControllerTests,org.springframework.test.web.servlet.request.MockHttpServletRequestBuilder,0.044444444444444446,0.0
org.springframework.samples.petclinic.owner.OwnerControllerTests,org.springframework.samples.petclinic.owner.OwnerControllerTests,0.022222222222222223,0.0
org.springframework.samples.petclinic.MySqlIntegrationTests,org.assertj.core.api.Assertions,0.0,0.0
org.springframework.web.servlet.view.AbstractView,org.springframework.web.servlet.View,0.4222222222222222,0.0
org.springframework.core.env.Environment,org.springframework.core.env.PropertyResolver,0.4222222222222222,0.0
org.springframework.context.ApplicationContext,org.springframework.context.ApplicationEventPublisher,0.4222222222222222,0.0
org.springframework.samples.petclinic.owner.PetControllerTests,org.springframework.samples.petclinic.model.NamedEntity,0.0,0.0
org.springframework.validation.BindingResult,org.springframework.validation.Errors,0.4222222222222222,0.0
org.springframework.orm.ObjectRetrievalFailureException,org.springframework.dao.DataRetrievalFailureException,0.4222222222222222,0.0
org.springframework.samples.petclinic.vet.VetControllerTests,org.springframework.test.web.servlet.MockMvc,0.044444444444444446,0.0
org.springframework.web.client.RestTemplate,org.springframework.web.client.RestOperations,0.4222222222222222,0.0
org.springframework.samples.petclinic.owner.PetController,org.springframework.validation.DataBinder,0.022222222222222223,0.0
org.springframework.validation.beanvalidation.LocalValidatorFactoryBean,org.springframework.beans.factory.DisposableBean,0.4222222222222222,0.0
org.springframework.samples.petclinic.owner.PetValidator,org.springframework.samples.petclinic.owner.Pet,0.022222222222222223,0.0
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.owner.Owner,0.08888888888888889,0.0
org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.model.Person,0.022222222222222223,0.0
org.springframework.samples.petclinic.system.CrashControllerTests,org.junit.jupiter.api.Assertions,0.0,0.0
org.springframework.core.env.ConfigurableEnvironment,org.springframework.core.env.ConfigurablePropertyResolver,0.4222222222222222,0.0
org.springframework.context.ApplicationContext,org.springframework.beans.factory.HierarchicalBeanFactory,0.4222222222222222,0.0
org.springframework.samples.petclinic.owner.OwnerControllerTests,org.mockito.ArgumentMatchers,0.17777777777777778,0.0
org.springframework.beans.factory.ListableBeanFactory,org.springframework.beans.factory.BeanFactory,0.4222222222222222,0.0
org.springframework.http.HttpStatus,org.springframework.http.HttpStatusCode,0.4222222222222222,0.0
org.springframework.samples.petclinic.model.ValidatorTests,org.springframework.validation.beanvalidation.LocalValidatorFactoryBean,0.022222222222222223,0.0
org.springframework.samples.petclinic.vet.Vets,org.springframework.samples.petclinic.vet.Vet,0.022222222222222223,0.0
org.springframework.samples.petclinic.owner.OwnerControllerTests,org.springframework.test.web.servlet.MockMvc,0.28888888888888886,0.0
org.mockito.Mockito,org.mockito.ArgumentMatchers,0.4222222222222222,0.0
org.springframework.web.client.RestTemplate,org.springframework.http.client.support.InterceptingHttpAccessor,0.4222222222222222,0.0
org.springframework.samples.petclinic.PostgresIntegrationTests,org.junit.jupiter.api.Assumptions,0.0,0.0
org.springframework.core.env.ConfigurablePropertyResolver,org.springframework.core.env.PropertyResolver,0.4222222222222222,0.0
org.springframework.samples.petclinic.vet.VetControllerTests,org.springframework.test.web.servlet.request.MockMvcRequestBuilders,0.0,0.0
org.springframework.samples.petclinic.service.ClinicServiceTests,org.springframework.samples.petclinic.owner.Pet,0.1111111111111111,0.0
org.springframework.samples.petclinic.owner.PetControllerTests,org.springframework.test.web.servlet.ResultActions,0.4222222222222222,0.0
org.springframework.beans.factory.HierarchicalBeanFactory,org.springframework.beans.factory.BeanFactory,0.4222222222222222,0.0
org.springframework.samples.petclinic.system.CrashControllerTests,org.springframework.samples.petclinic.system.CrashController,0.022222222222222223,0.0
org.springframework.samples.petclinic.vet.VetControllerTests,org.springframework.test.web.servlet.result.JsonPathResultMatchers,0.0,0.0
org.springframework.samples.petclinic.owner.VisitControllerTests,org.springframework.test.web.servlet.result.ViewResultMatchers,0.044444444444444446,0.0
org.springframework.samples.petclinic.owner.VisitControllerTests,org.springframework.samples.petclinic.owner.OwnerRepository,0.044444444444444446,0.0
org.springframework.samples.petclinic.owner.OwnerControllerTests,org.springframework.test.web.servlet.request.MockMvcRequestBuilders,0.24444444444444444,0.0
org.springframework.samples.petclinic.vet.VetTests,org.springframework.samples.petclinic.model.Person,0.1111111111111111,0.0
org.springframework.samples.petclinic.vet.VetController,org.springframework.samples.petclinic.vet.VetRepository,0.06666666666666667,0.0
org.springframework.web.bind.WebDataBinder,org.springframework.validation.DataBinder,0.4222222222222222,0.0
org.springframework.samples.petclinic.service.ClinicServiceTests,org.springframework.samples.petclinic.model.Person,0.1111111111111111,0.0
org.springframework.samples.petclinic.owner.VisitControllerTests,org.springframework.test.web.servlet.result.StatusResultMatchers,0.044444444444444446,0.0
org.springframework.validation.beanvalidation.LocalValidatorFactoryBean,org.springframework.validation.beanvalidation.SpringValidatorAdapter,0.4222222222222222,0.0
org.springframework.samples.petclinic.vet.VetControllerTests,org.springframework.test.web.servlet.result.ContentResultMatchers,0.0,0.0
org.springframework.samples.petclinic.service.ClinicServiceTests,org.springframework.samples.petclinic.model.BaseEntity,0.044444444444444446,0.0
org.springframework.context.support.ApplicationObjectSupport,org.springframework.context.ApplicationContextAware,0.4222222222222222,0.0
org.springframework.samples.petclinic.vet.VetController,org.springframework.samples.petclinic.vet.Vets,0.06666666666666667,0.0
org.springframework.samples.petclinic.service.ClinicServiceTests,org.springframework.samples.petclinic.vet.Vet,0.044444444444444446,0.0
org.springframework.samples.petclinic.vet.VetControllerTests,org.mockito.ArgumentMatchers,0.0,0.0
org.springframework.samples.petclinic.vet.VetTests,org.springframework.samples.petclinic.vet.Vet,0.0,0.0
org.springframework.beans.support.MutableSortDefinition,org.springframework.beans.support.SortDefinition,0.4222222222222222,0.0
org.springframework.samples.petclinic.owner.PetControllerTests,org.springframework.test.web.servlet.result.StatusResultMatchers,0.1111111111111111,0.0
org.testcontainers.containers.FailureDetectingExternalResource,org.junit.rules.TestRule,0.4222222222222222,0.0
org.springframework.samples.petclinic.vet.VetTests,org.springframework.samples.petclinic.model.BaseEntity,0.044444444444444446,0.0
org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.owner.OwnerRepository,0.022222222222222223,0.0
org.springframework.samples.petclinic.owner.VisitController,org.springframework.samples.petclinic.owner.Owner,0.0,0.0
org.springframework.samples.petclinic.vet.VetControllerTests,org.springframework.samples.petclinic.model.NamedEntity,0.0,0.0
org.springframework.context.ConfigurableApplicationContext,org.springframework.context.ApplicationContext,0.4222222222222222,0.0
org.springframework.dao.NonTransientDataAccessException,org.springframework.dao.DataAccessException,0.4222222222222222,0.0
org.springframework.samples.petclinic.owner.OwnerController,org.springframework.samples.petclinic.owner.Owner,0.022222222222222223,0.0
org.springframework.samples.petclinic.owner.PetTypeFormatterTests,org.springframework.samples.petclinic.owner.OwnerRepository,0.06666666666666667,0.0
org.springframework.samples.petclinic.vet.VetTests,org.assertj.core.api.Assertions,0.044444444444444446,0.0
org.springframework.context.ConfigurableApplicationContext,org.springframework.context.Lifecycle,0.4222222222222222,0.0
org.springframework.samples.petclinic.PostgresIntegrationTests,org.springframework.boot.web.client.RestTemplateBuilder,0.022222222222222223,0.0
org.springframework.samples.petclinic.owner.Owner,org.springframework.samples.petclinic.owner.Pet,0.044444444444444446,0.0
org.springframework.samples.petclinic.owner.PetControllerTests,org.springframework.test.web.servlet.result.MockMvcResultMatchers,0.4222222222222222,0.0
org.junit.jupiter.api.extension.BeforeEachCallback,org.junit.jupiter.api.extension.Extension,0.4222222222222222,0.0
org.springframework.samples.petclinic.owner.VisitControllerTests,org.mockito.BDDMockito,0.0,0.0
org.springframework.samples.petclinic.vet.VetControllerTests,org.springframework.samples.petclinic.model.BaseEntity,0.044444444444444446,0.0
org.springframework.samples.petclinic.service.ClinicServiceTests,org.springframework.samples.petclinic.model.NamedEntity,0.15555555555555556,0.0
org.springframework.samples.petclinic.PetClinicIntegrationTests,org.springframework.boot.web.client.RestTemplateBuilder,0.022222222222222223,0.0
org.springframework.samples.petclinic.owner.PetTypeFormatter,org.springframework.samples.petclinic.model.NamedEntity,0.022222222222222223,0.0
org.springframework.samples.petclinic.owner.PetValidator,org.springframework.validation.Validator,0.4222222222222222,0.0
org.springframework.validation.beanvalidation.LocalValidatorFactoryBean,org.springframework.beans.factory.InitializingBean,0.4222222222222222,0.0
org.springframework.samples.petclinic.owner.PetController,org.springframework.samples.petclinic.model.NamedEntity,0.022222222222222223,0.0
org.junit.jupiter.api.extension.ParameterResolver,org.junit.jupiter.api.extension.Extension,0.4222222222222222,0.0
org.springframework.samples.petclinic.owner.PetTypeFormatterTests,org.springframework.samples.petclinic.owner.PetTypeFormatter,0.044444444444444446,0.0
org.springframework.web.servlet.view.xml.MarshallingView,org.springframework.web.servlet.view.AbstractView,0.4222222222222222,0.0
