,Application Service 6,Entity Service 1,Application Service 7,Entity Service 4,Entity Service 2,Application Service 8,Entity Service 5,Application Service 10,Entity Service 3,Entity Service 10,Application Service 11,Application Service 1,Entity Service 9,Entity Service 11,Entity Service 8,Application Service 2,Entity Service 7,Application Service 5,Application Service 9,Entity Service 6,Application Service 12,Application Service 3,Application Service 4
Application Service 6,0.0,0.4808745357337271,0.49689410698247977,0.48684695317159904,0.4911720084528697,0.4980528335174796,0.48877134405499956,0.4903502907999845,0.48932517865233227,0.4774883532714103,0.49746612824787795,0.4943205952863991,0.48545206404629243,0.43862667824770835,0.47641217825062915,0.49707518642487725,0.4917061953784657,0.48689081140606294,0.49369055854858673,0.47855322889289714,0.48741185583415203,0.4937270560401152,0.48079429503951165
Entity Service 1,0.4808745357337271,0.0,0.4792730479102093,0.49529183563604234,0.4912593336563449,0.4829339486083686,0.4909769603316809,0.46310755004963045,0.4895055721949819,0.4683116701972439,0.48402218274383674,0.4752411490972368,0.4922962931873521,0.4277744579922753,0.4778966126766008,0.481464184891252,0.49161121114258716,0.4816297365878767,0.4816827214464788,0.48559503481057364,0.4802745379733611,0.48399053679721316,0.4602826573513031
Application Service 7,0.49689410698247977,0.4792730479102093,0.0,0.4873330636347066,0.48756218144784746,0.4964571952577654,0.4864139498379701,0.48935303945262637,0.4872227339993183,0.4751342860421223,0.496380140592733,0.48918302080522524,0.48540251136403473,0.4460903321450672,0.4733973922570132,0.4976225144150648,0.48930283710834116,0.4893317982394204,0.49371827986570294,0.4770992636025043,0.48678276106155927,0.4945099775665351,0.47490565766275966
Entity Service 4,0.48684695317159904,0.49529183563604234,0.4873330636347066,0.0,0.49337731021254233,0.4890268332860059,0.4930562280073829,0.47198668047681325,0.49310639255097605,0.4743736719944241,0.4900627162485822,0.4806572181312705,0.4948977570996919,0.43644407398156554,0.48198423677242985,0.48818251413814423,0.49479602851436033,0.48834878900930917,0.48705016999246414,0.49056830582199384,0.4855574431837606,0.4889566597181134,0.4648501063712067
Entity Service 2,0.4911720084528697,0.4912593336563449,0.48756218144784746,0.49337731021254233,0.0,0.490476854284196,0.4957268361247784,0.4774001642293252,0.4951975527570831,0.47976094816344567,0.4898480417249737,0.4855132111824092,0.4911278917296791,0.43000291572027494,0.48321342742413764,0.4876212089081631,0.4958272594977303,0.4860608659815503,0.4843892408821277,0.4835804438168944,0.48452522351170546,0.4865021739722802,0.4672537132924112
Application Service 8,0.4980528335174796,0.4829339486083686,0.4964571952577654,0.4890268332860059,0.490476854284196,0.0,0.48858391279693186,0.4889145248549579,0.48873642907308273,0.4738427015520912,0.49734247706687035,0.49363625827846613,0.4873899073379143,0.43458874338205566,0.4780422036378685,0.4974766461778911,0.49313520824277385,0.48722137138146265,0.4945019232664327,0.4815578828800419,0.48979574085940414,0.49485996033437724,0.48413780693538483
Entity Service 5,0.48877134405499956,0.4909769603316809,0.4864139498379701,0.4930562280073829,0.4957268361247784,0.48858391279693186,0.0,0.4763716297629146,0.49357839721839886,0.4860289909775551,0.48802480219327987,0.4827744864764924,0.4895717381072816,0.439896275827684,0.4818579949332554,0.48584950689034895,0.4934669328357282,0.48692076326152645,0.4822871335579363,0.4845088515452851,0.48109963221295515,0.484063601046371,0.4608550361616954
Application Service 10,0.4903502907999845,0.46310755004963045,0.48935303945262637,0.47198668047681325,0.4774001642293252,0.4889145248549579,0.4763716297629146,0.0,0.47416182743785473,0.46938594532437916,0.4858228044722325,0.4887487018180315,0.4691442863281311,0.4304373925630994,0.46196966557950914,0.48743831687164585,0.4782224748177668,0.47900510942379737,0.477520973486975,0.462703490621377,0.4710856765810389,0.47759484975208244,0.470094732633629
Entity Service 3,0.48932517865233227,0.4895055721949819,0.4872227339993183,0.49310639255097605,0.4951975527570831,0.48873642907308273,0.49357839721839886,0.47416182743785473,0.0,0.48084376970046866,0.48998523113924064,0.48179577261976925,0.49331259533197747,0.44295640509512885,0.48334295011674794,0.4884288477395306,0.4934166250364053,0.48669815436851704,0.48693093599667925,0.48106241466674066,0.48328361919193086,0.4885696116160035,0.4628044518547147
Entity Service 10,0.4774883532714103,0.4683116701972439,0.4751342860421223,0.4743736719944241,0.47976094816344567,0.4738427015520912,0.4860289909775551,0.46938594532437916,0.48084376970046866,0.0,0.4759888404375581,0.47187474219991604,0.4731535749003836,0.44678860650722013,0.47124504361737024,0.47215578428231403,0.47821538515281353,0.47801400391665383,0.46589532287934754,0.46620394534106413,0.4601323299403343,0.46727498457388894,0.4396266165379905
Application Service 11,0.49746612824787795,0.48402218274383674,0.496380140592733,0.4900627162485822,0.4898480417249737,0.49734247706687035,0.48802480219327987,0.4858228044722325,0.48998523113924064,0.4759888404375581,0.0,0.49132371138494324,0.4889834572776008,0.436874574633083,0.4798205994940243,0.4966177357793691,0.49255408306943693,0.48888185318797733,0.49430705110001777,0.48303966658474334,0.4897125810219533,0.4951259363033659,0.4808371893987745
Application Service 1,0.4943205952863991,0.4752411490972368,0.48918302080522524,0.4806572181312705,0.4855132111824092,0.49363625827846613,0.4827744864764924,0.4887487018180315,0.48179577261976925,0.47187474219991604,0.49132371138494324,0.0,0.4781491961668511,0.4236419431377448,0.4691254302262857,0.49059785555289853,0.486850768032686,0.47821553780565956,0.4864443865727368,0.472363422169445,0.4819362681958089,0.48517240969295133,0.4824383237067708
Entity Service 9,0.48545206404629243,0.4922962931873521,0.48540251136403473,0.4948977570996919,0.4911278917296791,0.4873899073379143,0.4895717381072816,0.4691442863281311,0.49331259533197747,0.4731535749003836,0.4889834572776008,0.4781491961668511,0.0,0.4336756084023332,0.48190105476110257,0.4864444859341936,0.4941547745475984,0.48787523841977554,0.48689333890606556,0.48198395883942546,0.4851393191720527,0.4883494974286545,0.4639868065873689
Entity Service 11,0.43862667824770835,0.4277744579922753,0.4460903321450672,0.43644407398156554,0.43000291572027494,0.43458874338205566,0.439896275827684,0.4304373925630994,0.44295640509512885,0.44678860650722013,0.436874574633083,0.4236419431377448,0.4336756084023332,0.0,0.4269820520776444,0.44641770948622905,0.4325519747842997,0.43514857322741607,0.44761093276203806,0.4206720358176072,0.4161030188240263,0.4427744434928065,0.3968658701368502
Entity Service 8,0.47641217825062915,0.4778966126766008,0.4733973922570132,0.48198423677242985,0.48321342742413764,0.4780422036378685,0.4818579949332554,0.46196966557950914,0.48334295011674794,0.47124504361737024,0.4798205994940243,0.4691254302262857,0.48190105476110257,0.4269820520776444,0.0,0.4751109487204416,0.486021359465557,0.4801014571569708,0.4719268078084101,0.48127100286695346,0.4741779171388317,0.47499600189083796,0.4571244223358887
Application Service 2,0.49707518642487725,0.481464184891252,0.4976225144150648,0.48818251413814423,0.4876212089081631,0.4974766461778911,0.48584950689034895,0.48743831687164585,0.4884288477395306,0.47215578428231403,0.4966177357793691,0.49059785555289853,0.4864444859341936,0.44641770948622905,0.4751109487204416,0.0,0.49102086749326185,0.48673373787959634,0.4970693634995912,0.4791781212362445,0.48851197567075766,0.49731956174900177,0.47961708088041455
Entity Service 7,0.4917061953784657,0.49161121114258716,0.48930283710834116,0.49479602851436033,0.4958272594977303,0.49313520824277385,0.4934669328357282,0.4782224748177668,0.4934166250364053,0.47821538515281353,0.49255408306943693,0.486850768032686,0.4941547745475984,0.4325519747842997,0.486021359465557,0.49102086749326185,0.0,0.48683583880724596,0.4885725107747577,0.48544018600408234,0.4875296946766356,0.4903318182082621,0.47431551310093345
Application Service 5,0.48689081140606294,0.4816297365878767,0.4893317982394204,0.48834878900930917,0.4860608659815503,0.48722137138146265,0.48692076326152645,0.47900510942379737,0.48669815436851704,0.47801400391665383,0.48888185318797733,0.47821553780565956,0.48787523841977554,0.43514857322741607,0.4801014571569708,0.48673373787959634,0.48683583880724596,0.0,0.48096289528081804,0.4832938222822485,0.4846613157136108,0.483766894007715,0.4602541969993205
Application Service 9,0.49369055854858673,0.4816827214464788,0.49371827986570294,0.48705016999246414,0.4843892408821277,0.4945019232664327,0.4822871335579363,0.477520973486975,0.48693093599667925,0.46589532287934754,0.49430705110001777,0.4864443865727368,0.48689333890606556,0.44761093276203806,0.4719268078084101,0.4970693634995912,0.4885725107747577,0.48096289528081804,0.0,0.47623637030257787,0.48750419266826894,0.49787823324395347,0.4792696806312222
Entity Service 6,0.47855322889289714,0.48559503481057364,0.4770992636025043,0.49056830582199384,0.4835804438168944,0.4815578828800419,0.4845088515452851,0.462703490621377,0.48106241466674066,0.46620394534106413,0.48303966658474334,0.472363422169445,0.48198395883942546,0.4206720358176072,0.48127100286695346,0.4791781212362445,0.48544018600408234,0.4832938222822485,0.47623637030257787,0.0,0.48067357407909767,0.4803916853610913,0.4617770269500803
