service1,service2,static_distance,semantic_distance
Application Service 3,Entity Service 1,0.0,0.9797843097566469
Application Service 3,Application Service 4,0.0,0.9875671167796374
Application Service 3,Entity Service 2,0.0,0.9662007768303523
Application Service 3,Application Service 1,0.0,0.9904360617252248
Application Service 3,Entity Service 2,0.0,0.9662007768303523
Application Service 3,Application Service 8,0.0,0.9832153493857736
Application Service 3,Application Service 9,0.0,0.9805182487103716
Application Service 3,Entity Service 3,0.0,0.9778318078848297
Application Service 3,Application Service 5,0.0,0.9878801695480163
Application Service 3,Application Service 10,0.0,0.9832119137674011
Application Service 3,Entity Service 4,0.0,0.9781163382985859
Application Service 3,Entity Service 5,0.0,0.9761685357469687
Application Service 3,Entity Service 2,0.0833333333333333,0.9662007768303523
Application Service 3,Application Service 11,0.0,0.9845557416896525
Application Service 3,Utility Service 1,0.0,0.9829221420546492
Application Service 3,Application Service 5,0.0,0.9878801695480163
Application Service 3,Entity Service 6,0.0833333333333333,0.9727984849138905
Application Service 3,Entity Service 3,0.0,0.9778318078848297
Application Service 3,Application Service 6,0.0,0.9668553449943394
Application Service 3,Application Service 7,0.0,0.9885471029319776
Application Service 3,Application Service 7,0.0,0.9885471029319776
Application Service 3,Application Service 6,0.0,0.9668553449943394
Application Service 3,Entity Service 5,0.0,0.9761685357469687
Application Service 3,Utility Service 1,0.0,0.9829221420546492
Application Service 3,Entity Service 6,0.0,0.9727984849138905
Application Service 3,Application Service 12,0.0,0.92389127113245
Application Service 3,Entity Service 7,0.0,0.9765354188071363
Application Service 3,Application Service 4,0.0,0.9875671167796374
Application Service 3,Entity Service 4,0.0,0.9781163382985859
Application Service 3,Entity Service 1,0.0833333333333333,0.9797843097566469
Application Service 3,Application Service 1,0.0,0.9904360617252248
Application Service 3,Application Service 1,0.0,0.9904360617252248
Application Service 3,Application Service 13,0.0,0.9134451337611984
Application Service 3,Entity Service 7,0.25,0.9765354188071363
Application Service 3,Application Service 14,0.0,0.9093749324384706
Application Service 3,Application Service 15,0.0,0.9057642024550968
Application Service 3,Application Service 2,0.0,0.9877984681480887
Application Service 3,Entity Service 1,0.0,0.9797843097566469
Application Service 3,Application Service 16,0.0,0.983141006771979
Application Service 3,Application Service 2,0.0,0.9877984681480887
Application Service 3,Application Service 1,0.0,0.9904360617252248
Application Service 3,Entity Service 6,0.0,0.9727984849138905
Application Service 3,Entity Service 3,0.0833333333333333,0.9778318078848297
Application Service 3,Entity Service 4,0.0,0.9781163382985859
Application Service 3,Application Service 2,0.0,0.9877984681480887
Application Service 3,Application Service 17,0.0,0.9839107312496128
Application Service 3,Entity Service 7,0.0,0.9765354188071363
Application Service 3,Application Service 18,0.0,0.9829757294162484
Application Service 3,Utility Service 1,0.0,0.9829221420546492
Application Service 3,Application Service 19,0.0,0.9539655201464655
Application Service 3,Entity Service 8,0.0,0.8803862298056545
Application Service 3,Entity Service 5,0.0,0.9761685357469687
Application Service 3,Entity Service 9,0.0833333333333333,0.9548036386889749
Entity Service 1,Application Service 3,0.0,0.9797843097566469
Entity Service 1,Application Service 4,0.0,0.9743056724468565
Entity Service 1,Entity Service 2,0.0,0.9854131332475098
Entity Service 1,Application Service 1,0.0,0.9836694872692967
Entity Service 1,Entity Service 2,0.0,0.9854131332475098
Entity Service 1,Application Service 8,0.0,0.9650022584490697
Entity Service 1,Application Service 9,0.0,0.9591547610154505
Entity Service 1,Entity Service 3,0.0,0.9895735981642483
Entity Service 1,Application Service 3,0.0,0.9797843097566469
Entity Service 1,Application Service 5,0.0,0.9705102209778432
Entity Service 1,Application Service 10,0.0,0.9634122695705223
Entity Service 1,Entity Service 4,0.0,0.9916545189954608
Entity Service 1,Entity Service 5,0.0,0.9868332500728108
Entity Service 1,Entity Service 2,0.0,0.9854131332475098
Entity Service 1,Application Service 11,0.0,0.9737015360653724
Entity Service 1,Utility Service 1,0.0,0.9868278877959618
Entity Service 1,Application Service 5,0.0,0.9705102209778432
Entity Service 1,Entity Service 6,0.0,0.9895920570287209
Entity Service 1,Entity Service 3,0.0,0.9895735981642483
Entity Service 1,Application Service 6,0.0,0.9718720276262155
Entity Service 1,Application Service 7,0.0,0.973084829195908
Entity Service 1,Application Service 7,0.0,0.973084829195908
Entity Service 1,Application Service 6,0.0,0.9718720276262155
Entity Service 1,Entity Service 5,0.0,0.9868332500728108
Entity Service 1,Utility Service 1,0.0,0.9868278877959618
Entity Service 1,Entity Service 6,0.0,0.9895920570287209
Entity Service 1,Application Service 12,0.0,0.9437329075419434
Entity Service 1,Entity Service 7,0.0,0.9869338656714565
Entity Service 1,Application Service 4,0.0,0.9743056724468565
Entity Service 1,Entity Service 4,0.0,0.9916545189954608
Entity Service 1,Application Service 1,0.0,0.9836694872692967
Entity Service 1,Application Service 1,0.0,0.9836694872692967
Entity Service 1,Application Service 13,0.0,0.9357057498977024
Entity Service 1,Entity Service 7,0.0,0.9869338656714565
Entity Service 1,Application Service 14,0.0,0.9185209035751155
Entity Service 1,Application Service 15,0.0,0.9190555406473321
Entity Service 1,Application Service 2,0.0,0.9884568452598869
Entity Service 1,Application Service 16,0.0,0.9662662628596455
Entity Service 1,Application Service 2,0.0,0.9884568452598869
Entity Service 1,Application Service 1,0.0,0.9836694872692967
Entity Service 1,Entity Service 6,0.0,0.9895920570287209
Entity Service 1,Entity Service 3,0.0,0.9895735981642483
Entity Service 1,Entity Service 4,0.0,0.9916545189954608
Entity Service 1,Application Service 2,0.0,0.9884568452598869
Entity Service 1,Application Service 17,0.0,0.9678960232785484
Entity Service 1,Entity Service 7,0.0,0.9869338656714565
Entity Service 1,Application Service 18,0.0,0.9624807078167759
Entity Service 1,Utility Service 1,0.0,0.9868278877959618
Entity Service 1,Application Service 19,0.0,0.9486310262018671
Entity Service 1,Entity Service 8,0.0,0.8651039495685995
Entity Service 1,Entity Service 5,0.0,0.9868332500728108
Entity Service 1,Entity Service 9,0.0,0.9720427189311142
Application Service 4,Application Service 3,0.0,0.9875671167796374
Application Service 4,Entity Service 1,0.0,0.9743056724468565
Application Service 4,Entity Service 2,0.0,0.9567617275095055
Application Service 4,Application Service 1,0.0,0.97986201611892
Application Service 4,Entity Service 2,0.0833333333333333,0.9567617275095055
Application Service 4,Application Service 8,0.0,0.9813505204263349
Application Service 4,Application Service 9,0.0,0.9730819225237644
Application Service 4,Entity Service 3,0.0,0.9682106934812372
Application Service 4,Application Service 3,0.0,0.9875671167796374
Application Service 4,Application Service 5,0.0,0.9902028309678537
Application Service 4,Application Service 10,0.0,0.9849704085046073
Application Service 4,Entity Service 4,0.0,0.9758695127673038
Application Service 4,Entity Service 5,0.0,0.9675463544953036
Application Service 4,Entity Service 2,0.25,0.9567617275095055
Application Service 4,Application Service 11,0.0,0.9871196400158699
Application Service 4,Utility Service 1,0.0,0.9821510375505771
Application Service 4,Application Service 5,0.0833333333333333,0.9902028309678537
Application Service 4,Entity Service 6,0.0,0.9621103367805499
Application Service 4,Entity Service 3,0.0,0.9682106934812372
Application Service 4,Application Service 6,0.0,0.9514859136404404
Application Service 4,Application Service 7,0.0833333333333333,0.9915756366660742
Application Service 4,Application Service 7,0.0,0.9915756366660742
Application Service 4,Application Service 6,0.0,0.9514859136404404
Application Service 4,Entity Service 5,0.0,0.9675463544953036
Application Service 4,Utility Service 1,0.0,0.9821510375505771
Application Service 4,Entity Service 6,0.0,0.9621103367805499
Application Service 4,Application Service 12,0.0,0.8964020971522167
Application Service 4,Entity Service 7,0.0,0.971940707858405
Application Service 4,Entity Service 4,0.0,0.9758695127673038
Application Service 4,Entity Service 1,0.0,0.9743056724468565
Application Service 4,Application Service 1,0.0,0.97986201611892
Application Service 4,Application Service 1,0.0,0.97986201611892
Application Service 4,Application Service 13,0.0,0.8837490692073094
Application Service 4,Entity Service 7,0.0,0.971940707858405
Application Service 4,Application Service 14,0.0,0.8777774223696226
Application Service 4,Application Service 15,0.0,0.8716508702684537
Application Service 4,Application Service 2,0.0833333333333333,0.9799883733095489
Application Service 4,Entity Service 1,0.0,0.9743056724468565
Application Service 4,Application Service 16,0.0,0.9869595153715081
Application Service 4,Application Service 2,0.0,0.9799883733095489
Application Service 4,Application Service 1,0.0,0.97986201611892
Application Service 4,Entity Service 6,0.0,0.9621103367805499
Application Service 4,Entity Service 3,0.0,0.9682106934812372
Application Service 4,Entity Service 4,0.0,0.9758695127673038
Application Service 4,Application Service 2,0.0,0.9799883733095489
