service1,service2,static_distance,semantic_distance
Application Service 1,Application Service 10,0.0,0.9567602033683423
Application Service 1,Application Service 11,0.0,0.9219512268489412
Application Service 1,Application Service 12,0.0,0.9361280610388406
Application Service 1,Application Service 13,0.0,0.9796598960514843
Application Service 1,Application Service 14,0.0,0.7727266405092491
Application Service 1,Application Service 15,0.0,0.9746772819130519
Application Service 1,Application Service 16,0.0,0.676026756377652
Application Service 1,Application Service 17,0.0,0.9028926449162256
Application Service 1,Application Service 18,0.0,0.92718583843949
Application Service 1,Application Service 19,0.0,0.901842253342772
Application Service 1,Application Service 2,0.3562500000000003,0.7880558061153552
Application Service 1,Application Service 20,0.0,0.7608033121537693
Application Service 1,Application Service 21,0.0,0.9725181620708284
Application Service 1,Application Service 22,0.0,0.6282310976403606
Application Service 1,Application Service 23,0.0,0.9366586547417474
Application Service 1,Application Service 24,0.0,0.762946883285689
Application Service 1,Application Service 25,0.0,0.8372330287298654
Application Service 1,Application Service 26,0.0,0.6032161572628122
Application Service 1,Application Service 27,0.0,0.7767018780400518
Application Service 1,Application Service 28,0.0,0.8110605010470192
Application Service 1,Application Service 29,0.0,0.8990432908127886
Application Service 1,Application Service 3,0.0,0.9836931534742122
Application Service 1,Application Service 30,0.0,0.8540662909264557
Application Service 1,Application Service 31,0.0,0.665498527247482
Application Service 1,Application Service 32,0.0,0.882212714705249
Application Service 1,Application Service 4,0.0,0.9011239913775612
Application Service 1,Application Service 5,0.0,0.8761278530735755
Application Service 1,Application Service 6,0.0,0.8518924869204948
Application Service 1,Application Service 7,0.0,0.975060802780923
Application Service 1,Application Service 8,0.0,0.938944291630659
Application Service 1,Application Service 9,0.0,0.8487554661718318
Application Service 1,Entity Service 1,0.1249999999999998,0.95204081630169
Application Service 1,Entity Service 10,0.15625,0.9347028150425976
Application Service 1,Entity Service 11,0.0,0.9497790165286502
Application Service 1,Entity Service 12,0.0,0.9287090069673128
Application Service 1,Entity Service 13,0.012499999999999995,0.7252983552114877
Application Service 1,Entity Service 14,0.0,0.8909520529013525
Application Service 1,Entity Service 15,0.0,0.8242320051006394
Application Service 1,Entity Service 16,0.0,0.9130646244342638
Application Service 1,Entity Service 17,0.018749999999999958,0.8863430546091625
Application Service 1,Entity Service 18,0.0,0.8389299557908511
Application Service 1,Entity Service 19,0.0,0.7311805357179049
Application Service 1,Entity Service 2,0.09374999999999993,0.9491734709675269
Application Service 1,Entity Service 20,0.0,0.8280657492785384
Application Service 1,Entity Service 21,0.018749999999999878,0.8086720047758021
Application Service 1,Entity Service 22,0.0,0.8632058596187672
Application Service 1,Entity Service 23,0.0,0.7836969559574564
Application Service 1,Entity Service 24,0.0,0.8827766742594901
Application Service 1,Entity Service 25,0.0,0.6902261933304228
Application Service 1,Entity Service 26,0.0,0.9217829672023375
Application Service 1,Entity Service 27,0.0,0.9058886910168823
Application Service 1,Entity Service 28,0.012499999999999995,0.9006997199455347
Application Service 1,Entity Service 29,0.0,0.7084105440205757
Application Service 1,Entity Service 3,0.0,0.7643861047564473
Application Service 1,Entity Service 30,0.0,0.8148814233308391
Application Service 1,Entity Service 31,0.0,0.6840242908623718
Application Service 1,Entity Service 32,0.03124999999999995,0.8979883126471219
Application Service 1,Entity Service 33,0.0,0.9336864105754316
Application Service 1,Entity Service 4,0.018749999999999958,0.9382911564066182
Application Service 1,Entity Service 5,0.0,0.9236011516590096
Application Service 1,Entity Service 6,0.018749999999999878,0.9379480071770298
Application Service 1,Entity Service 7,0.0,0.6057917949911023
Application Service 1,Entity Service 8,0.3874999999999999,0.9628349598044934
Application Service 1,Entity Service 9,0.0,0.8564933184768826
Application Service 1,Utility Service 1,0.0,0.8929454815833145
Application Service 1,Utility Service 10,0.00624999999999996,0.873625158821409
Application Service 1,Utility Service 11,0.0,0.6468838187045207
Application Service 1,Utility Service 12,0.0,0.9429662948228924
Application Service 1,Utility Service 13,0.0,0.8319002414434032
Application Service 1,Utility Service 14,0.0,0.8733347001748231
Application Service 1,Utility Service 15,0.0,0.9264273500565379
Application Service 1,Utility Service 16,0.0,0.7899379697271975
Application Service 1,Utility Service 17,0.0,0.8903503609191759
Application Service 1,Utility Service 18,0.0,0.9325214302404836
Application Service 1,Utility Service 19,0.0,0.8776258145146434
Application Service 1,Utility Service 2,0.0,0.8422657590629798
Application Service 1,Utility Service 20,0.0,0.5713336558961131
Application Service 1,Utility Service 21,0.0,0.45398319653677954
Application Service 1,Utility Service 22,0.00624999999999996,0.8630513057666451
Application Service 1,Utility Service 23,0.0,0.8887091899224981
Application Service 1,Utility Service 24,0.0,0.7436196733008562
Application Service 1,Utility Service 25,0.0,0.6981187753852297
Application Service 1,Utility Service 26,0.0,0.8744533882692794
Application Service 1,Utility Service 27,0.012499999999999995,0.40586184360396765
Application Service 1,Utility Service 28,0.0,0.8728104284193621
Application Service 1,Utility Service 29,0.0,0.8411483926172402
Application Service 1,Utility Service 3,0.04999999999999983,0.9904496846833871
Application Service 1,Utility Service 30,0.0,0.7824002586733034
Application Service 1,Utility Service 31,0.0,0.9645870015209125
Application Service 1,Utility Service 4,0.0,0.8706760834158862
Application Service 1,Utility Service 5,0.0,0.6657029304569666
Application Service 1,Utility Service 6,0.0,0.8808668246686688
Application Service 1,Utility Service 7,0.0,0.8778607572737206
Application Service 1,Utility Service 8,0.0,0.8608654718555824
Application Service 1,Utility Service 9,0.0,0.81409096041433
Application Service 10,Application Service 1,0.0,0.9567602033683423
Application Service 10,Application Service 11,0.0,0.9531198600448435
Application Service 10,Application Service 12,0.0,0.9490241102720146
Application Service 10,Application Service 13,0.0,0.9630450777166859
