service1,service2,static_distance,semantic_distance
Application Service 1,Application Service 2,0.0,0.9970329319848791
Application Service 1,Application Service 3,0.0,0.9988561854686067
Application Service 1,Application Service 4,0.0,1.0
Application Service 1,Application Service 5,0.0,0.9197934941224178
Application Service 1,Application Service 6,0.0,0.9767050007215144
Application Service 1,Application Service 7,0.0,0.9990273675690582
Application Service 1,Application Service 8,0.0,0.9174354157170597
Application Service 1,Application Service 9,0.0,0.0
Application Service 1,Entity Service 1,0.10810810810810809,0.8839569892170982
Application Service 1,Entity Service 10,0.0,0.7790302753340105
Application Service 1,Entity Service 2,0.10810810810810809,0.9083428279683258
Application Service 1,Entity Service 3,1.0,0.9371863071177771
Application Service 1,Entity Service 4,0.0,0.936300291503674
Application Service 1,Entity Service 5,0.0,0.9279344383393703
Application Service 1,Entity Service 6,0.0,0.8204569218084096
Application Service 1,Entity Service 7,0.05405405405405404,0.8036513300664521
Application Service 1,Entity Service 8,0.0,0.8519704893721004
Application Service 1,Entity Service 9,0.0,0.4048653238887966
Application Service 1,Utility Service 1,0.0,0.9349792963623059
Application Service 2,Application Service 1,0.0,0.9970329319848791
Application Service 2,Application Service 3,0.0,0.9959275606531076
Application Service 2,Application Service 4,0.0,0.9972181625073163
Application Service 2,Application Service 5,0.0,0.940401068100288
Application Service 2,Application Service 6,0.0,0.966472916840183
Application Service 2,Application Service 7,0.0,0.9913967813598529
Application Service 2,Application Service 8,0.0,0.8934723085941053
Application Service 2,Application Service 9,0.0,0.0
Application Service 2,Entity Service 1,0.0,0.8612570048170859
Application Service 2,Entity Service 10,0.0,0.7784626902721574
Application Service 2,Entity Service 2,0.7297297297297296,0.8852161158177513
Application Service 2,Entity Service 3,0.0,0.940212011938743
Application Service 2,Entity Service 4,0.0,0.9153812028650806
Application Service 2,Entity Service 5,0.0,0.9277833771234396
Application Service 2,Entity Service 6,0.0,0.777686586786538
Application Service 2,Entity Service 7,0.0,0.761688109363208
Application Service 2,Entity Service 8,0.0,0.8561953470948673
