class1,class2,static_distance,semantic_distance
net.java.cargotracker.domain.model.cargo.Delivery,net.java.cargotracker.domain.model.cargo.RouteSpecification,0.0392156862745098,0.9728390594911143
net.java.pathfinder.api.GraphTraversalService,net.java.pathfinder.api.TransitEdge,0.0,0.8471581564088916
net.java.cargotracker.domain.model.handling.UnknownCargoException,net.java.cargotracker.domain.model.handling.CannotCreateHandlingEventException,0.37254901960784315,0.9104958834811796
net.java.cargotracker.domain.model.voyage.Schedule,net.java.cargotracker.domain.model.voyage.Schedule,0.0392156862745098,1.0
net.java.cargotracker.infrastructure.persistence.jpa.JpaCargoRepository,net.java.cargotracker.domain.model.cargo.TrackingId,0.0,0.7642538489495366
net.java.cargotracker.domain.model.cargo.Cargo,net.java.cargotracker.domain.model.location.Location,0.0196078431372549,0.7986057739573008
net.java.cargotracker.application.HandlingEventServiceTest,net.java.cargotracker.application.internal.DefaultHandlingEventService,0.0392156862745098,0.933396908539456
net.java.cargotracker.domain.model.location.Location,net.java.cargotracker.domain.model.location.Location,0.0392156862745098,1.0
net.java.cargotracker.interfaces.tracking.web.CargoTrackingViewAdapter,net.java.cargotracker.domain.model.cargo.TrackingId,0.0,0.8992319251656823
net.java.cargotracker.application.BookingServiceTest,net.java.cargotracker.domain.model.cargo.Cargo,0.9019607843137255,0.8173126976195603
net.java.cargotracker.application.HandlingEventServiceTest,net.java.cargotracker.domain.model.voyage.Voyage,0.0,0.8876471948036491
net.java.cargotracker.application.internal.DefaultHandlingEventService,net.java.cargotracker.application.HandlingEventService,0.37254901960784315,0.9062919853334829
net.java.cargotracker.application.internal.DefaultCargoInspectionService,net.java.cargotracker.domain.model.cargo.Delivery,0.0196078431372549,0.938433541287252
net.java.cargotracker.domain.model.location.SampleLocations,net.java.cargotracker.domain.model.location.Location,0.49019607843137253,0.758545068003538
net.java.cargotracker.application.util.SampleDataGenerator,net.java.cargotracker.application.util.SampleDataGenerator,0.058823529411764705,1.0
net.java.cargotracker.domain.model.handling.UnknownCargoException,net.java.cargotracker.domain.model.cargo.TrackingId,0.0392156862745098,0.8195065666906644
net.java.cargotracker.application.internal.DefaultBookingService,net.java.cargotracker.domain.model.cargo.Cargo,0.19607843137254902,0.8384379181374289
net.java.cargotracker.domain.model.cargo.Delivery,net.java.cargotracker.domain.model.cargo.Itinerary,0.0392156862745098,0.9770766924415766
net.java.cargotracker.interfaces.booking.facade.internal.assembler.ItineraryCandidateDtoAssembler,net.java.cargotracker.domain.model.cargo.Leg,0.0784313725490196,0.939213033305034
net.java.cargotracker.interfaces.handling.file.EventItemReader,net.java.cargotracker.domain.model.location.UnLocode,0.0,0.9080386074826631
net.java.cargotracker.domain.model.handling.HandlingEventTest,net.java.cargotracker.domain.model.cargo.RouteSpecification,0.0196078431372549,0.8316249287613093
net.java.cargotracker.domain.model.cargo.ItineraryTest,net.java.cargotracker.domain.model.cargo.TrackingId,0.0,0.8105489144622671
net.java.cargotracker.domain.model.handling.HandlingEventTest,net.java.cargotracker.domain.model.handling.HandlingEvent,0.29411764705882354,0.8396714401839701
net.java.cargotracker.application.internal.DefaultCargoInspectionService,net.java.cargotracker.application.CargoInspectionService,0.37254901960784315,0.7388009534158493
net.java.cargotracker.infrastructure.routing.ExternalRoutingService,net.java.cargotracker.domain.model.voyage.VoyageRepository,0.0392156862745098,0.7607745013151882
net.java.cargotracker.domain.model.cargo.RouteSpecificationTest,net.java.cargotracker.domain.model.cargo.RouteSpecification,0.13725490196078433,0.8147397817541447
net.java.cargotracker.domain.model.cargo.RouteSpecificationTest,net.java.cargotracker.domain.model.cargo.Itinerary,0.0196078431372549,0.7786776371007639
net.java.cargotracker.domain.model.cargo.CargoTest,net.java.cargotracker.domain.model.cargo.Delivery,0.43137254901960786,0.9429123009011385
net.java.cargotracker.scenario.CargoLifecycleScenarioTest,net.java.cargotracker.domain.model.cargo.Delivery,0.9411764705882353,0.9421251534254247
net.java.cargotracker.domain.model.handling.HandlingHistory,net.java.cargotracker.domain.model.handling.HandlingEvent,0.058823529411764705,0.9487779777945986
net.java.cargotracker.interfaces.booking.facade.internal.DefaultBookingServiceFacade,net.java.cargotracker.interfaces.booking.facade.internal.assembler.CargoRouteDtoAssembler,0.0392156862745098,0.9346336637905569
net.java.cargotracker.infrastructure.persistence.jpa.JpaHandlingEventRepository,net.java.cargotracker.domain.model.handling.HandlingHistory,0.0,0.8859812590450292
net.java.cargotracker.interfaces.booking.facade.internal.assembler.ItineraryCandidateDtoAssembler,net.java.cargotracker.domain.model.voyage.VoyageNumber,0.0196078431372549,0.739123625241591
net.java.cargotracker.interfaces.booking.facade.internal.assembler.ItineraryCandidateDtoAssembler,net.java.cargotracker.interfaces.booking.facade.dto.RouteCandidate,0.0392156862745098,0.8289290669821149
net.java.cargotracker.interfaces.booking.facade.internal.DefaultBookingServiceFacade,net.java.cargotracker.application.BookingService,0.0784313725490196,0.9065024326342758
net.java.cargotracker.interfaces.booking.facade.internal.DefaultBookingServiceFacade,net.java.cargotracker.domain.model.voyage.VoyageRepository,0.0196078431372549,0.6879921759411682
net.java.cargotracker.interfaces.handling.file.EventItemWriter,net.java.cargotracker.application.ApplicationEvents,0.0196078431372549,0.7924766214361343
net.java.cargotracker.infrastructure.messaging.jms.HandlingEventRegistrationAttemptConsumer,net.java.cargotracker.application.HandlingEventService,0.0392156862745098,0.8796323802334347
net.java.cargotracker.interfaces.booking.facade.internal.assembler.ItineraryCandidateDtoAssembler,net.java.cargotracker.interfaces.booking.facade.internal.assembler.LocationDtoAssembler,0.058823529411764705,0.8737061728252541
net.java.cargotracker.infrastructure.routing.ExternalRoutingService,net.java.cargotracker.domain.model.cargo.Itinerary,0.0,0.9361709877833628
net.java.cargotracker.domain.model.cargo.HandlingActivity,net.java.cargotracker.domain.model.location.Location,0.0196078431372549,0.9412728594835756
net.java.cargotracker.domain.model.handling.HandlingHistoryTest,net.java.cargotracker.domain.model.cargo.Cargo,0.0196078431372549,0.7642846552462383
net.java.cargotracker.scenario.CargoLifecycleScenarioTest,net.java.cargotracker.domain.model.voyage.VoyageRepository,0.0196078431372549,0.5269625001163453
net.java.pathfinder.api.GraphTraversalService,net.java.pathfinder.api.GraphTraversalService,0.0196078431372549,1.0
net.java.cargotracker.infrastructure.messaging.jms.JmsApplicationEvents,net.java.cargotracker.application.ApplicationEvents,0.37254901960784315,0.7737799119700378
net.java.cargotracker.domain.model.handling.UnknownLocationException,net.java.cargotracker.domain.model.handling.CannotCreateHandlingEventException,0.37254901960784315,0.9034423599285594
net.java.cargotracker.domain.model.handling.HandlingHistoryTest,net.java.cargotracker.domain.model.handling.HandlingEvent,0.09803921568627451,0.8274745635368244
net.java.cargotracker.infrastructure.messaging.jms.CargoHandledConsumer,net.java.cargotracker.application.CargoInspectionService,0.0392156862745098,0.8937999916389925
net.java.cargotracker.scenario.CargoLifecycleScenarioTest,net.java.cargotracker.domain.model.handling.HandlingEventFactory,0.0196078431372549,0.9250841914141381
net.java.cargotracker.domain.model.cargo.Delivery,net.java.cargotracker.domain.model.handling.HandlingEvent,0.17647058823529413,0.9767575438423038
net.java.cargotracker.domain.model.cargo.ItineraryTest,net.java.cargotracker.domain.model.cargo.Leg,0.0196078431372549,0.8777965751715043
net.java.cargotracker.interfaces.booking.facade.internal.assembler.LocationDtoAssembler,net.java.cargotracker.interfaces.booking.facade.dto.Location,0.0,0.848754908732349
net.java.cargotracker.interfaces.booking.facade.internal.DefaultBookingServiceFacade,net.java.cargotracker.interfaces.booking.facade.internal.assembler.ItineraryCandidateDtoAssembler,0.0196078431372549,0.9553077907212152
net.java.cargotracker.domain.model.cargo.Itinerary,net.java.cargotracker.domain.model.cargo.Leg,0.11764705882352941,0.9529767194161028
net.java.cargotracker.application.HandlingEventServiceTest,net.java.cargotracker.domain.model.cargo.Cargo,0.0392156862745098,0.7741210998110863
net.java.cargotracker.infrastructure.persistence.jpa.JpaCargoRepository,net.java.cargotracker.domain.model.cargo.CargoRepository,0.37254901960784315,0.9144170824409227
net.java.cargotracker.interfaces.tracking.web.CargoTrackingViewAdapter,net.java.cargotracker.domain.model.cargo.HandlingActivity,0.09803921568627451,0.9495636203339969
net.java.cargotracker.interfaces.booking.web.ItinerarySelection,net.java.cargotracker.interfaces.booking.facade.dto.RouteCandidate,0.0196078431372549,0.9067930158677263
net.java.cargotracker.infrastructure.routing.ExternalRoutingServiceTest,net.java.cargotracker.domain.model.cargo.TrackingId,0.0,0.8876581031142526
net.java.cargotracker.domain.model.location.Location,net.java.cargotracker.domain.model.location.UnLocode,0.058823529411764705,0.9088389308214928
net.java.cargotracker.scenario.CargoLifecycleScenarioTest,net.java.cargotracker.application.HandlingEventService,0.19607843137254902,0.828779829422605
net.java.cargotracker.application.internal.DefaultBookingService,net.java.cargotracker.domain.model.cargo.RouteSpecification,0.09803921568627451,0.9412033766853142
net.java.cargotracker.infrastructure.routing.ExternalRoutingService,net.java.cargotracker.domain.model.location.UnLocode,0.0196078431372549,0.8699433852656832
net.java.cargotracker.interfaces.tracking.web.CargoTrackingViewAdapter,net.java.cargotracker.domain.model.location.UnLocode,0.058823529411764705,0.926815908131293
net.java.cargotracker.interfaces.booking.web.CargoDetails,net.java.cargotracker.interfaces.booking.facade.BookingServiceFacade,0.0392156862745098,0.8791241247041662
net.java.cargotracker.interfaces.booking.facade.internal.assembler.CargoRouteDtoAssembler,net.java.cargotracker.domain.model.cargo.Delivery,0.058823529411764705,0.9178711223937784
net.java.cargotracker.scenario.CargoLifecycleScenarioTest,net.java.cargotracker.application.CargoInspectionService,0.0196078431372549,0.700878454798453
net.java.cargotracker.domain.model.cargo.Leg,net.java.cargotracker.domain.model.cargo.Leg,0.0,1.0
net.java.cargotracker.application.util.SampleDataGenerator,net.java.cargotracker.domain.model.cargo.Leg,0.11764705882352941,0.8835643297875466
net.java.cargotracker.interfaces.handling.file.EventItemReader,net.java.cargotracker.interfaces.handling.file.EventLineParseException,0.09803921568627451,0.832184463443325
net.java.cargotracker.interfaces.booking.facade.internal.assembler.CargoRouteDtoAssembler,net.java.cargotracker.domain.model.cargo.RouteSpecification,0.0196078431372549,0.9122629762410562
net.java.cargotracker.application.BookingServiceTest,net.java.cargotracker.domain.model.cargo.Itinerary,0.058823529411764705,0.8935701038267548
net.java.cargotracker.interfaces.booking.web.ListCargo,net.java.cargotracker.interfaces.booking.facade.BookingServiceFacade,0.0196078431372549,0.85715567584579
net.java.cargotracker.interfaces.booking.facade.internal.DefaultBookingServiceFacade,net.java.cargotracker.interfaces.booking.facade.BookingServiceFacade,0.37254901960784315,0.8725757893515684
net.java.cargotracker.interfaces.booking.web.CargoDetails,net.java.cargotracker.interfaces.booking.facade.dto.CargoRoute,0.0196078431372549,0.8401649880372459
net.java.cargotracker.interfaces.handling.file.EventItemReader,net.java.cargotracker.domain.model.cargo.TrackingId,0.0,0.8796406384190477
net.java.cargotracker.domain.model.cargo.Cargo,net.java.cargotracker.domain.model.cargo.Itinerary,0.0196078431372549,0.8477812751368321
net.java.cargotracker.domain.model.cargo.Cargo,net.java.cargotracker.domain.model.cargo.TrackingId,0.0784313725490196,0.8655667146333386
