class1,class2,static_distance,semantic_distance
com.rafsan.inventory.controller.product.AddController,com.rafsan.inventory.model.CategoryModel,0.10526315789473684,0.9417583035465744
com.rafsan.inventory.controller.supplier.EditController,com.rafsan.inventory.entity.Supplier,0.3157894736842105,0.7239930132726258
com.rafsan.inventory.controller.pos.PosController,com.rafsan.inventory.model.ProductModel,0.15789473684210525,0.9593074349612724
com.rafsan.inventory.controller.supplier.SupplierController,com.rafsan.inventory.model.SupplierModel,0.21052631578947367,0.9536677369500595
com.rafsan.inventory.controller.report.ReportController,com.rafsan.inventory.controller.report.ReportController,0.47368421052631576,1.0
com.rafsan.inventory.controller.product.EditController,com.rafsan.inventory.model.CategoryModel,0.10526315789473684,0.9414664705495925
com.rafsan.inventory.model.CategoryModel,com.rafsan.inventory.dao.CategoryDao,1.0,0.5820251769408001
com.rafsan.inventory.controller.supplier.EditController,com.rafsan.inventory.interfaces.SupplierInterface,1.0,0.3472761798891475
com.rafsan.inventory.controller.employee.EditController,com.rafsan.inventory.entity.Employee,0.47368421052631576,0.9206966158604486
com.rafsan.inventory.controller.employee.EditController,com.rafsan.inventory.interfaces.EmployeeInterface,1.0,0.43191383725309795
com.rafsan.inventory.controller.pos.InvoiceController,com.rafsan.inventory.model.EmployeeModel,0.15789473684210525,0.9314690039387052
com.rafsan.inventory.controller.product.ProductController,com.rafsan.inventory.controller.product.ProductController,0.47368421052631576,1.0
com.rafsan.inventory.model.InvoiceModel,com.rafsan.inventory.dao.InvoiceDao,1.0,0.8172301580088779
com.rafsan.inventory.controller.product.ProductController,com.rafsan.inventory.controller.product.EditController,0.05263157894736842,0.9732858970692021
com.rafsan.inventory.entity.Sale,com.rafsan.inventory.entity.Invoice,0.05263157894736842,0.9739444553500982
com.rafsan.inventory.controller.employee.AddController,com.rafsan.inventory.entity.Employee,0.0,0.9050873042794092
com.rafsan.inventory.controller.category.CategoryController,com.rafsan.inventory.model.CategoryModel,0.21052631578947367,0.9525057417852596
