service1,service2,static_distance,semantic_distance
Application Service 1,Application Service 10,0.0,0.0
Application Service 1,Application Service 2,0.0,0.997508365806852
Application Service 1,Application Service 3,0.0,0.999039466779152
Application Service 1,Application Service 4,0.0,1.0
Application Service 1,Application Service 5,0.0,0.9326455370962
Application Service 1,Application Service 6,0.0,0.9804377195144047
Application Service 1,Application Service 7,0.0,0.999183219188118
Application Service 1,Application Service 8,0.0,0.93066530989717
Application Service 1,Application Service 9,0.0,0.8956000156061291
Application Service 1,Entity Service 1,0.0,0.9394820015358745
Application Service 1,Entity Service 10,0.0,0.5002278677233726
Application Service 1,Entity Service 11,0.0,0.814437782072262
Application Service 1,Entity Service 2,0.11111111111111108,0.902551363140645
Application Service 1,Entity Service 3,0.7222222222222222,0.9113517735263271
Application Service 1,Entity Service 4,0.11111111111111108,0.9242715887998804
Application Service 1,Entity Service 5,0.0,0.8492263505637944
Application Service 1,Entity Service 6,0.0,0.900651910575361
Application Service 1,Entity Service 7,0.3055555555555555,0.9361177264294133
Application Service 1,Entity Service 8,0.0,0.8756902813161783
Application Service 1,Entity Service 9,0.05555555555555554,0.8351136349782564
Application Service 1,Utility Service 1,0.0,0.8876335618674264
Application Service 1,Utility Service 2,0.0,0.8836576208689055
Application Service 1,Utility Service 3,0.0,0.858731667443153
Application Service 10,Application Service 1,0.0,0.0
Application Service 10,Application Service 2,0.0,0.0
Application Service 10,Application Service 3,0.0,0.0
Application Service 10,Application Service 4,0.0,0.0
Application Service 10,Application Service 5,0.0,0.0
Application Service 10,Application Service 6,0.0,0.0
Application Service 10,Application Service 7,0.0,0.0
Application Service 10,Application Service 8,0.0,0.0
Application Service 10,Application Service 9,0.0,0.0
Application Service 10,Entity Service 1,0.0,0.0
Application Service 10,Entity Service 10,0.0,0.0
Application Service 10,Entity Service 11,0.0,0.0
Application Service 10,Entity Service 2,0.0,0.0
Application Service 10,Entity Service 3,0.11111111111111108,0.0
Application Service 10,Entity Service 4,0.0,0.0
Application Service 10,Entity Service 5,0.08333333333333331,0.0
Application Service 10,Entity Service 6,0.0,0.0
Application Service 10,Entity Service 7,0.11111111111111108,0.0
Application Service 10,Entity Service 8,0.0,0.0
Application Service 10,Entity Service 9,0.0,0.0
Application Service 10,Utility Service 1,0.0,0.0
Application Service 10,Utility Service 2,0.0,0.0
Application Service 10,Utility Service 3,0.0,0.0
Application Service 2,Application Service 1,0.0,0.997508365806852
Application Service 2,Application Service 10,0.0,0.0
Application Service 2,Application Service 3,0.0,0.9965801157659593
