service1,service2,static_distance,semantic_distance
Application Service 1,Application Service 10,0.12903225806451613,0.8889259462719019
Application Service 1,Application Service 11,0.0,0.0
Application Service 1,Application Service 12,0.0,0.8702409223856209
Application Service 1,Application Service 13,0.0,0.907009148741147
Application Service 1,Application Service 14,0.0,0.7756285491032623
Application Service 1,Application Service 15,0.0,0.7737265181125347
Application Service 1,Application Service 16,0.0,0.7801236764166426
Application Service 1,Application Service 17,0.0,0.8793666621162496
Application Service 1,Application Service 18,0.0,0.8889181257010436
Application Service 1,Application Service 19,0.0,0.7909418398085036
Application Service 1,Application Service 2,0.0,0.8662896806618677
Application Service 1,Application Service 3,0.0,0.9461722742504981
Application Service 1,Application Service 4,0.0,0.9615971193737674
Application Service 1,Application Service 5,0.0,0.9166551121395574
Application Service 1,Application Service 6,0.0,0.8608423486419117
Application Service 1,Application Service 7,0.0,0.6500838233625825
Application Service 1,Application Service 8,0.0,0.9048354208217712
Application Service 1,Application Service 9,0.0,0.8361790510126941
Application Service 1,Entity Service 1,0.0,0.8759721607416052
Application Service 1,Entity Service 10,0.0,0.8093314960827408
Application Service 1,Entity Service 11,0.0,0.5362190182428499
Application Service 1,Entity Service 12,0.0,0.8621418806848354
Application Service 1,Entity Service 13,0.0,0.8735143624380483
Application Service 1,Entity Service 14,0.0,0.9250679299975818
Application Service 1,Entity Service 15,0.03225806451612903,0.8795141749191898
Application Service 1,Entity Service 16,0.0,0.8277029730667712
Application Service 1,Entity Service 17,0.0,0.8537005358038745
Application Service 1,Entity Service 18,0.0,0.8670026927563711
Application Service 1,Entity Service 19,0.0,0.8584443874479774
Application Service 1,Entity Service 2,0.0,0.3800735039107996
Application Service 1,Entity Service 20,0.0,0.8882828661361045
Application Service 1,Entity Service 21,0.0,0.9059681170531672
Application Service 1,Entity Service 22,0.0,0.9094284560522884
Application Service 1,Entity Service 23,0.0,0.8830628335721741
Application Service 1,Entity Service 24,0.0,0.904026171690892
Application Service 1,Entity Service 25,0.0,0.8948039624293102
Application Service 1,Entity Service 26,0.0,0.8948683435402713
Application Service 1,Entity Service 27,0.0,0.9010524974613175
Application Service 1,Entity Service 28,0.0,0.8561833077924498
Application Service 1,Entity Service 29,0.03225806451612903,0.8788681324962414
Application Service 1,Entity Service 3,0.0,0.905459843439803
Application Service 1,Entity Service 30,0.0,0.7488658434115295
Application Service 1,Entity Service 31,0.0,0.8700145085000353
Application Service 1,Entity Service 32,0.0,0.869944481786849
Application Service 1,Entity Service 33,0.0,0.3896617715757238
Application Service 1,Entity Service 34,0.0,0.7669129989944979
Application Service 1,Entity Service 35,0.0,0.7028137876774899
Application Service 1,Entity Service 4,0.0,0.5293143658278282
Application Service 1,Entity Service 5,0.0,0.9239023919208889
Application Service 1,Entity Service 6,0.0,0.6757148279908541
Application Service 1,Entity Service 7,0.0,0.8922633394730186
Application Service 1,Entity Service 8,0.0,0.5232206784529204
Application Service 1,Entity Service 9,0.0,0.653940990960915
Application Service 1,Utility Service 1,0.0,0.7806979621447315
Application Service 1,Utility Service 10,0.0,0.9031095666019924
Application Service 1,Utility Service 11,0.0,0.8123754812793428
Application Service 1,Utility Service 12,0.0,0.8709932505337501
Application Service 1,Utility Service 13,0.0,0.8296629820775842
Application Service 1,Utility Service 2,0.0,0.7280508373982951
Application Service 1,Utility Service 3,0.0,0.8586862380533824
Application Service 1,Utility Service 4,0.0,0.8874949913183952
Application Service 1,Utility Service 5,0.0,0.7633240117780236
Application Service 1,Utility Service 6,0.0,0.7025255059688008
Application Service 1,Utility Service 7,0.0,0.8506652947135219
Application Service 1,Utility Service 8,0.0,0.7275326012570065
Application Service 1,Utility Service 9,0.0,0.7880128032161976
Application Service 10,Application Service 1,0.0,0.8889259462719019
Application Service 10,Application Service 11,0.0,0.0
Application Service 10,Application Service 12,0.0,0.7388099586193273
Application Service 10,Application Service 13,0.0,0.8086640026960897
Application Service 10,Application Service 14,0.0,0.8493918237228104
Application Service 10,Application Service 15,0.0,0.7031350220307206
Application Service 10,Application Service 16,0.0,0.7375245138908932
Application Service 10,Application Service 17,0.0,0.764546332585773
Application Service 10,Application Service 18,0.0,0.8054931951789606
Application Service 10,Application Service 19,0.0,0.8504158415371185
Application Service 10,Application Service 2,0.0,0.8152219951567709
Application Service 10,Application Service 3,0.0,0.840518279393475
Application Service 10,Application Service 4,0.0,0.8388321133853618
Application Service 10,Application Service 5,0.0,0.8310197929936365
Application Service 10,Application Service 6,0.0,0.9231731416751543
Application Service 10,Application Service 7,0.0,0.6919600721241623
Application Service 10,Application Service 8,0.0,0.8397004807173379
Application Service 10,Application Service 9,0.0,0.7742767769219272
Application Service 10,Entity Service 1,0.0,0.7877994021935407
Application Service 10,Entity Service 10,0.0,0.7488063053293625
Application Service 10,Entity Service 11,0.0,0.6247324731314512
Application Service 10,Entity Service 12,0.0,0.7307643826079134
Application Service 10,Entity Service 13,0.0,0.7678951317132349
Application Service 10,Entity Service 14,0.0,0.8209135659390374
Application Service 10,Entity Service 15,0.0,0.8302105829131453
Application Service 10,Entity Service 16,0.0,0.7919791846293556
Application Service 10,Entity Service 17,0.0,0.85211613082553
Application Service 10,Entity Service 18,0.0,0.7727135459965424
Application Service 10,Entity Service 19,0.0,0.7291925281002497
Application Service 10,Entity Service 2,0.0,0.46034329450727846
Application Service 10,Entity Service 20,0.0,0.7688635865257373
Application Service 10,Entity Service 21,0.0,0.7666633915256066
