service1,service2,static_distance,semantic_distance
Application Service 1,Application Service 10,0.0,0.9590154243388513
Application Service 1,Application Service 11,0.0,0.9673284903934439
Application Service 1,Application Service 12,0.0,0.9529138554155142
Application Service 1,Application Service 13,0.0,0.8941693989334932
Application Service 1,Application Service 14,0.0,0.7980400543691374
Application Service 1,Application Service 15,0.0,0.7947126087416275
Application Service 1,Application Service 16,0.0,0.8092605155535646
Application Service 1,Application Service 17,0.0,0.8185494736181442
Application Service 1,Application Service 18,0.0,0.8755862496261734
Application Service 1,Application Service 19,0.0,0.7487456112425503
Application Service 1,Application Service 2,0.0,0.9684061065282625
Application Service 1,Application Service 20,0.0,0.747534413903554
Application Service 1,Application Service 21,0.0,0.902866565078264
Application Service 1,Application Service 22,0.0,0.9379178703773209
Application Service 1,Application Service 23,0.0,0.8875338764019772
Application Service 1,Application Service 24,0.0,0.9249179297969089
Application Service 1,Application Service 3,0.0,0.9050010696078574
Application Service 1,Application Service 4,0.0,0.9349637153480264
Application Service 1,Application Service 5,0.0,0.9208082844714672
Application Service 1,Application Service 6,0.0,0.9729980203903423
Application Service 1,Application Service 7,0.0,0.9710690893285528
Application Service 1,Application Service 8,0.0,0.8190917366554468
Application Service 1,Application Service 9,0.0,0.8804560444546677
Application Service 1,Entity Service 1,1.0,0.9679919521134968
Application Service 1,Entity Service 10,0.0,0.9073707434229987
Application Service 1,Entity Service 11,0.010989010989010978,0.8601092968019871
Application Service 1,Entity Service 12,0.008791208791208767,0.8741786506665754
Application Service 1,Entity Service 13,0.0,0.8334149351494267
Application Service 1,Entity Service 14,0.0,0.8443137142356255
Application Service 1,Entity Service 15,0.0043956043956043965,0.8577380896419081
Application Service 1,Entity Service 16,0.017582417582417482,0.9057795247195581
Application Service 1,Entity Service 17,0.024175824175824197,0.8773813688682788
Application Service 1,Entity Service 18,0.0,0.8894421182195824
Application Service 1,Entity Service 19,0.006593406593406582,0.9031415475626975
Application Service 1,Entity Service 2,0.0,0.8822572615409969
Application Service 1,Entity Service 20,0.0,0.9384129862117006
Application Service 1,Entity Service 21,0.0043956043956043965,0.9062545622020832
Application Service 1,Entity Service 22,0.015384615384615377,0.8388212657269088
Application Service 1,Entity Service 23,0.008791208791208793,0.9338023911883073
Application Service 1,Entity Service 24,0.0,0.9240332719945733
Application Service 1,Entity Service 25,0.008791208791208793,0.8974777715057245
Application Service 1,Entity Service 3,0.0,0.8642305232306484
Application Service 1,Entity Service 4,0.0,0.8270869609204831
Application Service 1,Entity Service 5,0.0,0.7890069494869757
Application Service 1,Entity Service 6,0.0,0.9258803448356521
Application Service 1,Entity Service 7,0.0,0.9054879368277917
Application Service 1,Entity Service 8,0.0043956043956043704,0.9064756175558146
Application Service 1,Entity Service 9,0.0043956043956043965,0.91207421789848
Application Service 1,Utility Service 1,0.04835164835164821,0.9747574203726856
Application Service 1,Utility Service 10,0.0,0.8519020086189578
Application Service 1,Utility Service 11,0.0,0.8884427274944992
Application Service 1,Utility Service 12,0.0,0.9652057046087859
Application Service 1,Utility Service 13,0.0,0.9680025496865293
Application Service 1,Utility Service 14,0.0,0.8684455636180965
Application Service 1,Utility Service 15,0.0,0.8537499993854274
Application Service 1,Utility Service 16,0.0,0.8877070053264154
Application Service 1,Utility Service 17,0.0,0.7502761169365308
Application Service 1,Utility Service 18,0.0021978021978021852,0.9287615723201119
Application Service 1,Utility Service 19,0.0,0.8861937041147617
Application Service 1,Utility Service 2,0.0,0.9685373246717751
Application Service 1,Utility Service 20,0.0043956043956043965,0.6302459312948125
Application Service 1,Utility Service 3,0.0,0.7270772733163047
Application Service 1,Utility Service 4,0.013186813186813189,0.8850941109903705
Application Service 1,Utility Service 5,0.008791208791208769,0.9405245126194024
Application Service 1,Utility Service 6,0.017582417582417558,0.6182702036728918
Application Service 1,Utility Service 7,0.0,0.837050867780443
Application Service 1,Utility Service 8,0.0043956043956043965,0.9259142710423547
Application Service 1,Utility Service 9,0.010989010989010952,0.8324341523501628
Application Service 10,Application Service 1,0.0,0.9590154243388513
Application Service 10,Application Service 11,0.0,0.9721795122351297
Application Service 10,Application Service 12,0.0,0.9358286107061728
Application Service 10,Application Service 13,0.0,0.927419838581053
Application Service 10,Application Service 14,0.0,0.6995446777190799
Application Service 10,Application Service 15,0.0,0.8837603471503237
Application Service 10,Application Service 16,0.0,0.6927319859680502
Application Service 10,Application Service 17,0.0,0.6935673371864559
Application Service 10,Application Service 18,0.0,0.7592595760559179
Application Service 10,Application Service 19,0.0,0.8645938693794415
Application Service 10,Application Service 2,0.0,0.934507466373001
Application Service 10,Application Service 20,0.0,0.8433712262399595
Application Service 10,Application Service 21,0.0,0.900843449568376
Application Service 10,Application Service 22,0.0,0.917858004187693
Application Service 10,Application Service 23,0.0,0.8026831994886859
Application Service 10,Application Service 24,0.0,0.9784875204010374
Application Service 10,Application Service 3,0.0,0.8087472798019003
Application Service 10,Application Service 4,0.0,0.8842161211422087
Application Service 10,Application Service 5,0.0,0.8412236692872097
Application Service 10,Application Service 6,0.0,0.941703375166041
Application Service 10,Application Service 7,0.0,0.9651167568267848
Application Service 10,Application Service 8,0.0,0.7852114416625133
Application Service 10,Application Service 9,0.0,0.8441167816927458
Application Service 10,Entity Service 1,0.01318681318681319,0.9364143073619362
Application Service 10,Entity Service 10,0.0,0.9590462916929312
Application Service 10,Entity Service 11,0.0,0.7327953697005912
Application Service 10,Entity Service 12,0.0,0.7431466146097295
Application Service 10,Entity Service 13,0.0,0.7550194909828472
Application Service 10,Entity Service 14,0.0,0.8220646015220895
Application Service 10,Entity Service 15,0.0,0.8390825529529585
Application Service 10,Entity Service 16,0.0,0.8810836878767382
Application Service 10,Entity Service 17,0.0,0.8301997823252507
Application Service 10,Entity Service 18,0.0,0.9296170465552409
Application Service 10,Entity Service 19,0.0,0.8380872205750459
Application Service 10,Entity Service 2,0.0,0.851955173828132
Application Service 10,Entity Service 20,0.0,0.9046151094416843
Application Service 10,Entity Service 21,0.0,0.8016565826679138
Application Service 10,Entity Service 22,0.0,0.8544351742491342
Application Service 10,Entity Service 23,0.0,0.9495208669678937
Application Service 10,Entity Service 24,0.0,0.8890726363678576
Application Service 10,Entity Service 25,0.0,0.7799133069474848
Application Service 10,Entity Service 3,0.0,0.7633450985552128
Application Service 10,Entity Service 4,0.0,0.8089594081947583
Application Service 10,Entity Service 5,0.0,0.6578061217696929
Application Service 10,Entity Service 6,0.0,0.9485040988453871
Application Service 10,Entity Service 7,0.0,0.8897922247202863
Application Service 10,Entity Service 8,0.0,0.8143985563687864
Application Service 10,Entity Service 9,0.006593406593406581,0.8808200319887639
Application Service 10,Utility Service 1,0.0,0.9309253516421429
Application Service 10,Utility Service 10,0.0,0.7074811225008963
Application Service 10,Utility Service 11,0.0,0.806332804355095
Application Service 10,Utility Service 12,0.0,0.9657061510294692
Application Service 10,Utility Service 13,0.0,0.9337619851741176
Application Service 10,Utility Service 14,0.0,0.724589958656743
Application Service 10,Utility Service 15,0.0,0.9167696947429779
Application Service 10,Utility Service 16,0.0,0.8228658832676276
Application Service 10,Utility Service 17,0.0,0.7685401262537741
Application Service 10,Utility Service 18,0.0,0.9349967763448357
Application Service 10,Utility Service 19,0.0,0.8606369346518922
Application Service 10,Utility Service 2,0.0,0.9461691802069702
Application Service 10,Utility Service 20,0.0,0.7546418712137692
Application Service 10,Utility Service 3,0.0,0.6308340360848754
Application Service 10,Utility Service 4,0.0,0.8331336899460755
Application Service 10,Utility Service 5,0.0,0.9248401157185482
Application Service 10,Utility Service 6,0.006593406593406582,0.6619546897077463
Application Service 10,Utility Service 7,0.0,0.7603102872558171
Application Service 10,Utility Service 8,0.0,0.8796952884056202
Application Service 10,Utility Service 9,0.0,0.8360294236932411
Application Service 11,Application Service 1,0.0,0.9673284903934439
Application Service 11,Application Service 10,0.0,0.9721795122351297
Application Service 11,Application Service 12,0.0,0.9297071329006006
Application Service 11,Application Service 13,0.0,0.8947000961094803
Application Service 11,Application Service 14,0.0,0.740046537168608
Application Service 11,Application Service 15,0.0,0.8267195388499462
Application Service 11,Application Service 16,0.0,0.7675077230363688
Application Service 11,Application Service 17,0.0,0.7709923127229894
Application Service 11,Application Service 18,0.0,0.8074297761155098
Application Service 11,Application Service 19,0.0,0.8106576899889116
Application Service 11,Application Service 2,0.0,0.948837350212271
Application Service 11,Application Service 20,0.0,0.7777553966982874
Application Service 11,Application Service 21,0.0,0.8795998873620396
Application Service 11,Application Service 22,0.0,0.9076500903135555
Application Service 11,Application Service 23,0.0,0.8305082967308364
Application Service 11,Application Service 24,0.0,0.9483559853865347
Application Service 11,Application Service 3,0.0,0.8547025118524774
Application Service 11,Application Service 4,0.0,0.8959256500750089
Application Service 11,Application Service 5,0.0,0.8751736170512625
Application Service 11,Application Service 6,0.0,0.9496096263808009
Application Service 11,Application Service 7,0.0,0.957294819488936
Application Service 11,Application Service 8,0.0,0.7953743085264362
Application Service 11,Application Service 9,0.0,0.8477077086967195
Application Service 11,Entity Service 1,0.019780219780219772,0.952743062698343
Application Service 11,Entity Service 10,0.0,0.9302378229142465
Application Service 11,Entity Service 11,0.0,0.7937215560029312
Application Service 11,Entity Service 12,0.0,0.7993875430603715
Application Service 11,Entity Service 13,0.0,0.7865884231247696
Application Service 11,Entity Service 14,0.0,0.8235747888493767
Application Service 11,Entity Service 15,0.0,0.8479062918739734
Application Service 11,Entity Service 16,0.0,0.8802819609157796
Application Service 11,Entity Service 17,0.0,0.8418734875270002
Application Service 11,Entity Service 18,0.0,0.8976325213309687
Application Service 11,Entity Service 19,0.0,0.8802475127826569
Application Service 11,Entity Service 2,0.0,0.8639643218613949
Application Service 11,Entity Service 20,0.0,0.9215156005498825
Application Service 11,Entity Service 21,0.0,0.8498680554448742
Application Service 11,Entity Service 22,0.0,0.8360395296397015
Application Service 11,Entity Service 23,0.0,0.9284402712423205
Application Service 11,Entity Service 24,0.0,0.910120761239428
Application Service 11,Entity Service 25,0.0,0.8274425317682265
Application Service 11,Entity Service 3,0.0,0.8150584381995934
Application Service 11,Entity Service 4,0.0,0.805828051545278
Application Service 11,Entity Service 5,0.0,0.7172859512051395
Application Service 11,Entity Service 6,0.0,0.9193852154820144
Application Service 11,Entity Service 7,0.0,0.8890995023742029
Application Service 11,Entity Service 8,0.0,0.8546106159985991
Application Service 11,Entity Service 9,0.0,0.8867769310313737
Application Service 11,Utility Service 1,0.0,0.9419335103089426
Application Service 11,Utility Service 10,0.0,0.782955459038178
Application Service 11,Utility Service 11,0.0,0.8264500345489875
Application Service 11,Utility Service 12,0.0,0.943780955480271
Application Service 11,Utility Service 13,0.0,0.9238388322665595
Application Service 11,Utility Service 14,0.0,0.7956487912978503
Application Service 11,Utility Service 15,0.0,0.877950458503126
Application Service 11,Utility Service 16,0.0,0.8411693411374103
Application Service 11,Utility Service 17,0.0,0.7404803715996937
Application Service 11,Utility Service 18,0.0,0.9322970713227338
Application Service 11,Utility Service 19,0.0,0.8700663536631544
Application Service 11,Utility Service 2,0.0,0.9522981188875395
Application Service 11,Utility Service 20,0.0,0.6982592198505715
Application Service 11,Utility Service 3,0.0,0.6672580062619515
Application Service 11,Utility Service 4,0.0,0.8415095937980115
Application Service 11,Utility Service 5,0.0,0.9352276707197195
Application Service 11,Utility Service 6,0.0043956043956043965,0.6264422653445326
Application Service 11,Utility Service 7,0.0,0.7911524688461908
Application Service 11,Utility Service 8,0.0,0.9005490773953383
Application Service 11,Utility Service 9,0.0,0.8204924499812023
Application Service 12,Application Service 1,0.0,0.9529138554155142
Application Service 12,Application Service 10,0.0,0.9358286107061728
Application Service 12,Application Service 11,0.0,0.9297071329006006
Application Service 12,Application Service 13,0.0,0.8530477184904524
Application Service 12,Application Service 14,0.0,0.7350784607133527
Application Service 12,Application Service 15,0.0,0.7766013545132563
Application Service 12,Application Service 16,0.0,0.6866786296236201
Application Service 12,Application Service 17,0.0,0.6880856799171652
Application Service 12,Application Service 18,0.0,0.8006854443457583
Application Service 12,Application Service 19,0.0,0.7531206290836138
Application Service 12,Application Service 2,0.0,0.8888776402971742
Application Service 12,Application Service 20,0.0,0.778843690115214
Application Service 12,Application Service 21,0.0,0.9454221416368557
Application Service 12,Application Service 22,0.0,0.9448785721541717
Application Service 12,Application Service 23,0.0,0.7990862071600328
Application Service 12,Application Service 24,0.0,0.91248639539774
Application Service 12,Application Service 3,0.0,0.7902297539891247
Application Service 12,Application Service 4,0.0,0.9080984274511691
Application Service 12,Application Service 5,0.0,0.8883248165972195
Application Service 12,Application Service 6,0.0,0.9467856451390095
Application Service 12,Application Service 7,0.0,0.9571755087135613
Application Service 12,Application Service 8,0.0,0.712121430553058
Application Service 12,Application Service 9,0.0,0.9196120486756377
Application Service 12,Entity Service 1,0.0,0.9473679574792374
Application Service 12,Entity Service 10,0.0,0.9113263401080725
Application Service 12,Entity Service 11,0.0,0.8074393399700652
Application Service 12,Entity Service 12,0.0,0.7810682631710447
Application Service 12,Entity Service 13,0.0,0.732213495123742
Application Service 12,Entity Service 14,0.0,0.7642670541800242
Application Service 12,Entity Service 15,0.0,0.7617400400602781
Application Service 12,Entity Service 16,0.0,0.8146144786322349
Application Service 12,Entity Service 17,0.0,0.7909463616720634
Application Service 12,Entity Service 18,0.0,0.8791916529267748
Application Service 12,Entity Service 19,0.0043956043956043965,0.9041913946801274
Application Service 12,Entity Service 2,0.0,0.7813655369208445
Application Service 12,Entity Service 20,0.0,0.92866039080775
Application Service 12,Entity Service 21,0.0043956043956043965,0.8388883472560005
Application Service 12,Entity Service 22,0.0,0.7730942978670076
Application Service 12,Entity Service 23,0.0,0.9247866464740445
Application Service 12,Entity Service 24,0.0,0.9346626734877558
Application Service 12,Entity Service 25,0.0,0.8266047373209559
Application Service 12,Entity Service 3,0.0,0.7652667858632152
Application Service 12,Entity Service 4,0.0,0.7444171101944638
Application Service 12,Entity Service 5,0.0,0.7724028589873005
Application Service 12,Entity Service 6,0.0,0.9034662722897415
Application Service 12,Entity Service 7,0.0,0.9262452945323287
Application Service 12,Entity Service 8,0.0,0.820995091521008
Application Service 12,Entity Service 9,0.0,0.8488058353947849
Application Service 12,Utility Service 1,0.013186813186813164,0.8982037803661714
Application Service 12,Utility Service 10,0.0,0.78106016985042
Application Service 12,Utility Service 11,0.0,0.8037810169693681
Application Service 12,Utility Service 12,0.0,0.9385886442331849
Application Service 12,Utility Service 13,0.0,0.925967740666669
Application Service 12,Utility Service 14,0.0,0.7957024377426763
Application Service 12,Utility Service 15,0.0,0.8060334362667475
Application Service 12,Utility Service 16,0.0,0.7658522354531743
Application Service 12,Utility Service 17,0.0,0.6476941368752751
Application Service 12,Utility Service 18,0.0,0.8648532123617465
Application Service 12,Utility Service 19,0.0,0.8140648950271597
Application Service 12,Utility Service 2,0.0,0.9305676035866645
Application Service 12,Utility Service 20,0.0,0.6284800626523497
Application Service 12,Utility Service 3,0.0,0.5594724516479059
Application Service 12,Utility Service 4,0.0,0.7835432595660011
Application Service 12,Utility Service 5,0.0,0.8720139280273943
Application Service 12,Utility Service 6,0.0,0.5158131776431893
Application Service 12,Utility Service 7,0.0,0.7684095237160283
Application Service 12,Utility Service 8,0.0,0.8496894340695094
Application Service 12,Utility Service 9,0.0,0.7373127716326926
Application Service 13,Application Service 1,0.0,0.8941693989334932
Application Service 13,Application Service 10,0.0,0.927419838581053
Application Service 13,Application Service 11,0.0,0.8947000961094803
Application Service 13,Application Service 12,0.0,0.8530477184904524
Application Service 13,Application Service 14,0.0,0.4753486177042373
Application Service 13,Application Service 15,0.0,0.9099206340955065
Application Service 13,Application Service 16,0.0,0.6860611088545592
Application Service 13,Application Service 17,0.0,0.6815014926615334
Application Service 13,Application Service 18,0.0,0.7463462988282944
Application Service 13,Application Service 19,0.0,0.898649097104189
Application Service 13,Application Service 2,0.0,0.9314117044639559
Application Service 13,Application Service 20,0.0,0.859375093121037
Application Service 13,Application Service 21,0.0,0.7916113900406588
Application Service 13,Application Service 22,0.0,0.8048983290020888
Application Service 13,Application Service 23,0.0,0.8385276133119732
Application Service 13,Application Service 24,0.0,0.928843891307348
Application Service 13,Application Service 3,0.0,0.8103998870723621
Application Service 13,Application Service 4,0.0,0.8697099117896495
Application Service 13,Application Service 5,0.0,0.6632204007628868
Application Service 13,Application Service 6,0.0,0.8283848334753423
Application Service 13,Application Service 7,0.0,0.9130629300061267
Application Service 13,Application Service 8,0.0,0.8898013366005209
Application Service 13,Application Service 9,0.0,0.6975097017658229
Application Service 13,Entity Service 1,0.0043956043956043965,0.8430842779691295
Application Service 13,Entity Service 10,0.0,0.9325277525338838
Application Service 13,Entity Service 11,0.0,0.6065013362664747
Application Service 13,Entity Service 12,0.0,0.6536939386426662
Application Service 13,Entity Service 13,0.0,0.8172010815075664
Application Service 13,Entity Service 14,0.0,0.9147539183224718
Application Service 13,Entity Service 15,0.0,0.9160269013412743
Application Service 13,Entity Service 16,0.0,0.9167310725694605
Application Service 13,Entity Service 17,0.0,0.8720663938288798
Application Service 13,Entity Service 18,0.008791208791208793,0.8897289141837451
Application Service 13,Entity Service 19,0.0,0.695552285944545
Application Service 13,Entity Service 2,0.0,0.9135606287609778
Application Service 13,Entity Service 20,0.0,0.7972429363410377
Application Service 13,Entity Service 21,0.0,0.7440731754638351
Application Service 13,Entity Service 22,0.0,0.9507653788545855
Application Service 13,Entity Service 23,0.0,0.8699734580822289
Application Service 13,Entity Service 24,0.0,0.7895300660109053
Application Service 13,Entity Service 25,0.0,0.6946088764584847
Application Service 13,Entity Service 3,0.0,0.698305970536852
Application Service 13,Entity Service 4,0.0,0.9086919499345035
Application Service 13,Entity Service 5,0.0,0.5111834967816178
Application Service 13,Entity Service 6,0.0,0.8838743418710134
Application Service 13,Entity Service 7,0.0,0.7458235768544971
Application Service 13,Entity Service 8,0.0,0.7960303644033867
Application Service 13,Entity Service 9,0.0,0.9184774590234702
Application Service 13,Utility Service 1,0.0021978021978021852,0.9162709921449214
Application Service 13,Utility Service 10,0.0,0.6071388433097992
Application Service 13,Utility Service 11,0.0,0.7186240351153182
Application Service 13,Utility Service 12,0.0,0.9015736883308274
Application Service 13,Utility Service 13,0.0,0.8404369677008211
Application Service 13,Utility Service 14,0.0,0.6538391600417703
Application Service 13,Utility Service 15,0.0,0.9281632256067371
Application Service 13,Utility Service 16,0.0,0.8031280490134303
Application Service 13,Utility Service 17,0.0,0.9166966825996578
Application Service 13,Utility Service 18,0.0,0.8933051867522687
Application Service 13,Utility Service 19,0.0,0.9061297418275713
Application Service 13,Utility Service 2,0.0,0.9294270365593429
Application Service 13,Utility Service 20,0.0,0.8497766717767916
Application Service 13,Utility Service 3,0.0,0.68052424971903
Application Service 13,Utility Service 4,0.0,0.8888452573352943
Application Service 13,Utility Service 5,0.0,0.8979739126124611
Application Service 13,Utility Service 6,0.0,0.8442089774462865
Application Service 13,Utility Service 7,0.0,0.5717947634007489
Application Service 13,Utility Service 8,0.0,0.8542473075869752
Application Service 13,Utility Service 9,0.0,0.9218340056558314
Application Service 14,Application Service 1,0.0,0.7980400543691374
Application Service 14,Application Service 10,0.0,0.6995446777190799
Application Service 14,Application Service 11,0.0,0.740046537168608
Application Service 14,Application Service 12,0.0,0.7350784607133527
Application Service 14,Application Service 13,0.0,0.4753486177042373
Application Service 14,Application Service 15,0.0,0.32823911906871633
Application Service 14,Application Service 16,0.0,0.598349431859825
Application Service 14,Application Service 17,0.0,0.6358630530899424
Application Service 14,Application Service 18,0.0,0.6465698720108772
Application Service 14,Application Service 19,0.0,0.2857268991244096
Application Service 14,Application Service 2,0.0,0.6890628974752967
Application Service 14,Application Service 20,0.0,0.3073614352441641
Application Service 14,Application Service 21,0.0,0.7519255695399406
Application Service 14,Application Service 22,0.0,0.8001140224215618
Application Service 14,Application Service 23,0.0,0.5959567222958392
Application Service 14,Application Service 24,0.0,0.6211147888956504
Application Service 14,Application Service 3,0.0,0.6729015957421933
Application Service 14,Application Service 4,0.0,0.6529041963435166
Application Service 14,Application Service 5,0.0,0.9006555307255142
Application Service 14,Application Service 6,0.0,0.8260751311643305
Application Service 14,Application Service 7,0.0,0.7293543206047983
Application Service 14,Application Service 8,0.0,0.39566177676068226
Application Service 14,Application Service 9,0.0,0.7740121992298307
Application Service 14,Entity Service 1,0.019780219780219772,0.8076036667708704
Application Service 14,Entity Service 10,0.0,0.603489243638823
Application Service 14,Entity Service 11,0.0,0.8405882822014465
Application Service 14,Entity Service 12,0.0,0.8056444051546253
Application Service 14,Entity Service 13,0.0,0.49577723059844847
Application Service 14,Entity Service 14,0.0,0.4289431913116079
Application Service 14,Entity Service 15,0.0,0.45274857260575874
Application Service 14,Entity Service 16,0.0,0.5941733705120001
Application Service 14,Entity Service 17,0.0,0.526128640626363
Application Service 14,Entity Service 18,0.0,0.6538311761238429
Application Service 14,Entity Service 19,0.0,0.8184352160876716
Application Service 14,Entity Service 2,0.0,0.5241566638334797
Application Service 14,Entity Service 20,0.0,0.7744797088927142
Application Service 14,Entity Service 21,0.0,0.7689334881956527
Application Service 14,Entity Service 22,0.0,0.39979145109461495
Application Service 14,Entity Service 23,0.0,0.7521516900567283
