service1,service2,static_distance,semantic_distance
Application Service 1,Application Service 2,0.0,0.9562401736604283
Application Service 1,Application Service 3,0.0,0.9418398036046018
Application Service 1,Application Service 4,0.0,0.8593500646631155
Application Service 1,Application Service 5,0.0,0.39094040159478866
Application Service 1,Entity Service 1,0.0,0.7091511180046577
Application Service 1,Entity Service 2,0.0,0.8885261371228973
Application Service 1,Entity Service 3,0.0789473684210526,0.6320450248402116
Application Service 1,Entity Service 4,0.0,0.8086060623935384
Application Service 1,Entity Service 5,0.0789473684210526,0.6642277662638546
Application Service 1,Utility Service 1,0.0,0.42686051986131185
Application Service 1,Utility Service 2,0.0,0.221960788591559
Application Service 2,Application Service 1,0.0,0.9562401736604283
Application Service 2,Application Service 3,0.0,0.9599733842758283
Application Service 2,Application Service 4,0.0,0.8850652772517138
Application Service 2,Application Service 5,0.0,0.38572021857322186
Application Service 2,Entity Service 1,0.0,0.6857482179637454
Application Service 2,Entity Service 2,0.0,0.8900604427011986
Application Service 2,Entity Service 3,0.0,0.5862683533440708
Application Service 2,Entity Service 4,0.052631578947368404,0.7987796514528859
Application Service 2,Entity Service 5,0.0,0.6901647647707149
Application Service 2,Utility Service 1,0.0,0.38628701321429304
Application Service 2,Utility Service 2,0.0,0.20201832871659894
Application Service 3,Application Service 1,0.0,0.9418398036046018
Application Service 3,Application Service 2,0.0,0.9599733842758283
Application Service 3,Application Service 4,0.0,0.9791087389658788
Application Service 3,Application Service 5,0.0,0.34056068705276554
Application Service 3,Entity Service 1,0.0,0.4961972591966413
Application Service 3,Entity Service 2,0.10526315789473681,0.7947181358483043
Application Service 3,Entity Service 3,0.0,0.38337646206644743
Application Service 3,Entity Service 4,0.131578947368421,0.6832206288489653
Application Service 3,Entity Service 5,0.0,0.5873179751491246
Application Service 3,Utility Service 1,0.0,0.13432698756219547
Application Service 3,Utility Service 2,0.0,0.18447057756983032
Application Service 4,Application Service 1,0.0,0.8593500646631155
Application Service 4,Application Service 2,0.0,0.8850652772517138
Application Service 4,Application Service 3,0.0,0.9791087389658788
Application Service 4,Application Service 5,0.0,0.396027461827894
Application Service 4,Entity Service 1,0.1578947368421052,0.3752151854394532
Application Service 4,Entity Service 2,0.1578947368421052,0.7101714102218519
Application Service 4,Entity Service 3,0.0,0.27279665983231427
Application Service 4,Entity Service 4,0.10526315789473681,0.5319069555871273
Application Service 4,Entity Service 5,0.0,0.5368898826218051
Application Service 4,Utility Service 1,0.0,0.0
Application Service 4,Utility Service 2,0.0,0.29660507164045374
Application Service 5,Application Service 1,0.0,0.39094040159478866
Application Service 5,Application Service 2,0.0,0.38572021857322186
Application Service 5,Application Service 3,0.0,0.34056068705276554
Application Service 5,Application Service 4,0.0,0.396027461827894
Application Service 5,Entity Service 1,0.026315789473684202,0.4789972613627262
Application Service 5,Entity Service 2,0.0,0.40320242019813024
Application Service 5,Entity Service 3,0.0,0.5790282833360652
Application Service 5,Entity Service 4,0.0,0.2597165148613152
Application Service 5,Entity Service 5,0.0,0.7495760746764923
Application Service 5,Utility Service 1,0.0,0.34488227787715586
Application Service 5,Utility Service 2,0.0,0.8781060654143693
Entity Service 1,Application Service 1,0.0,0.7091511180046577
Entity Service 1,Application Service 2,0.0,0.6857482179637454
Entity Service 1,Application Service 3,0.0,0.4961972591966413
Entity Service 1,Application Service 4,0.0,0.3752151854394532
Entity Service 1,Application Service 5,0.0,0.4789972613627262
Entity Service 1,Entity Service 2,1.0,0.8951786581955902
Entity Service 1,Entity Service 3,0.0,1.0
Entity Service 1,Entity Service 4,0.0,0.7774188512747601
Entity Service 1,Entity Service 5,0.0,0.6891763204003181
Entity Service 1,Utility Service 1,0.0,0.8555715866760001
Entity Service 1,Utility Service 2,0.0,0.2590440369354575
Entity Service 2,Application Service 1,0.0,0.8885261371228973
Entity Service 2,Application Service 2,0.0,0.8900604427011986
Entity Service 2,Application Service 3,0.0,0.7947181358483043
Entity Service 2,Application Service 4,0.0,0.7101714102218519
Entity Service 2,Application Service 5,0.0,0.40320242019813024
Entity Service 2,Entity Service 1,0.052631578947368404,0.8951786581955902
Entity Service 2,Entity Service 3,0.0,0.7654768156963372
Entity Service 2,Entity Service 4,0.0,0.8268371410492713
Entity Service 2,Entity Service 5,0.0,0.6113647713218663
Entity Service 2,Utility Service 1,0.0,0.5642555401797869
Entity Service 2,Utility Service 2,0.0,0.1331329111002356
Entity Service 3,Application Service 1,0.0,0.6320450248402116
Entity Service 3,Application Service 2,0.0,0.5862683533440708
Entity Service 3,Application Service 3,0.0,0.38337646206644743
Entity Service 3,Application Service 4,0.0,0.27279665983231427
Entity Service 3,Application Service 5,0.0,0.5790282833360652
Entity Service 3,Entity Service 1,0.5,1.0
Entity Service 3,Entity Service 2,0.5,0.7654768156963372
Entity Service 3,Entity Service 4,0.0,0.6911509677855436
Entity Service 3,Entity Service 5,0.0,0.7395584764026221
Entity Service 3,Utility Service 1,0.0,0.9042954771129017
Entity Service 3,Utility Service 2,0.0,0.40466951256956785
Entity Service 4,Application Service 1,0.0,0.8086060623935384
Entity Service 4,Application Service 2,0.0,0.7987796514528859
Entity Service 4,Application Service 3,0.0,0.6832206288489653
Entity Service 4,Application Service 4,0.0,0.5319069555871273
Entity Service 4,Application Service 5,0.0,0.2597165148613152
Entity Service 4,Entity Service 1,0.0,0.7774188512747601
Entity Service 4,Entity Service 2,0.0,0.8268371410492713
Entity Service 4,Entity Service 3,0.0,0.6911509677855436
Entity Service 4,Entity Service 5,0.0,0.663842605340437
Entity Service 4,Utility Service 1,0.0,0.5690349028401738
