service1,service2,static_distance,semantic_distance
Application Service 1,Application Service 2,0.0,0.9970329319848791
Application Service 1,Application Service 3,0.0,0.9988561854686154
Application Service 1,Application Service 4,0.0,1.0
Application Service 1,Application Service 5,0.0,0.9197934941224178
Application Service 1,Application Service 6,0.0,0.9767050007215144
Application Service 1,Application Service 7,0.0,0.9990273675690582
Application Service 1,Application Service 8,0.0,0.9174354157170597
Application Service 1,Application Service 9,0.0,0.0
Application Service 1,Entity Service 1,0.7222222222222222,0.8876332496082882
Application Service 1,Entity Service 10,0.0,0.4048653238887966
Application Service 1,Entity Service 2,0.0,0.920524593485838
Application Service 1,Entity Service 3,0.0,0.8204569218084096
Application Service 1,Entity Service 4,0.11111111111111108,0.9402929707974719
Application Service 1,Entity Service 5,0.05555555555555554,0.8036513300664521
Application Service 1,Entity Service 6,0.3055555555555555,0.9239282190115496
Application Service 1,Entity Service 7,0.11111111111111108,0.9098216956061707
Application Service 1,Entity Service 8,0.0,0.8816950982187357
Application Service 1,Entity Service 9,0.0,0.7790302753340105
Application Service 1,Utility Service 1,0.0,0.9349792963623059
Application Service 2,Application Service 1,0.0,0.9970329319848791
Application Service 2,Application Service 3,0.0,0.9959275606531076
Application Service 2,Application Service 4,0.0,0.9972181625073075
Application Service 2,Application Service 5,0.0,0.940401068100288
Application Service 2,Application Service 6,0.0,0.966472916840183
Application Service 2,Application Service 7,0.0,0.9913967813598529
Application Service 2,Application Service 8,0.0,0.8934723085941053
Application Service 2,Application Service 9,0.0,0.0
Application Service 2,Entity Service 1,0.4444444444444444,0.8722487885891884
Application Service 2,Entity Service 10,0.0,0.3346835314930129
Application Service 2,Entity Service 2,0.0,0.9199720777389419
Application Service 2,Entity Service 3,0.0,0.777686586786538
Application Service 2,Entity Service 4,0.0,0.933693407117108
Application Service 2,Entity Service 5,0.0,0.761688109363208
Application Service 2,Entity Service 6,0.0,0.9272544876085882
Application Service 2,Entity Service 7,0.3055555555555555,0.8935338193798409
Application Service 2,Entity Service 8,0.0,0.8498706952192
Application Service 2,Entity Service 9,0.0,0.7784626902721574
Application Service 2,Utility Service 1,0.0,0.9407203367556632
Application Service 3,Application Service 1,0.0,0.9988561854686154
Application Service 3,Application Service 2,0.0,0.9959275606531076
Application Service 3,Application Service 4,0.0,0.9980235893504762
Application Service 3,Application Service 5,0.0,0.9136200722678519
Application Service 3,Application Service 6,0.0,0.9760324100886489
Application Service 3,Application Service 7,0.0,0.9949935691281409
Application Service 3,Application Service 8,0.0,0.9184695884803746
Application Service 3,Application Service 9,0.0,0.0
Application Service 3,Entity Service 1,0.0,0.8911956049640913
Application Service 3,Entity Service 10,0.0,0.4224676269906946
Application Service 3,Entity Service 2,1.0,0.9259137508668698
Application Service 3,Entity Service 3,0.0,0.821893453345661
Application Service 3,Entity Service 4,0.0,0.9350520963916595
Application Service 3,Entity Service 5,0.0,0.8043677244529096
Application Service 3,Entity Service 6,0.0,0.9151437851988089
Application Service 3,Entity Service 7,0.0,0.9093021940405748
Application Service 3,Entity Service 8,0.0,0.882329161096144
Application Service 3,Entity Service 9,0.0,0.7740911533366035
