label,precision,recall,f1-score,support,model_name
Application,0.7272727272727273,1.0,0.8421052631578948,8.0,decision_tree
Utility,0.0,0.0,0.0,2.0,decision_tree
Entity,0.8333333333333334,0.7142857142857143,0.7692307692307692,7.0,decision_tree
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,decision_tree
macro avg,0.5202020202020202,0.5714285714285715,0.5371120107962213,17.0,decision_tree
weighted avg,0.6853832442067737,0.7647058823529411,0.713026911169326,17.0,decision_tree
Application,0.7777777777777778,0.875,0.823529411764706,8.0,svm
Utility,0.0,0.0,0.0,2.0,svm
Entity,0.75,0.8571428571428571,0.7999999999999999,7.0,svm
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,svm
macro avg,0.5092592592592592,0.5773809523809524,0.5411764705882353,17.0,svm
weighted avg,0.6748366013071895,0.7647058823529411,0.7169550173010381,17.0,svm
Application,0.7777777777777778,0.875,0.823529411764706,8.0,knn
Utility,0.0,0.0,0.0,2.0,knn
Entity,0.75,0.8571428571428571,0.7999999999999999,7.0,knn
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,knn
macro avg,0.5092592592592592,0.5773809523809524,0.5411764705882353,17.0,knn
weighted avg,0.6748366013071895,0.7647058823529411,0.7169550173010381,17.0,knn
Application,0.7777777777777778,0.875,0.823529411764706,8.0,logistic_regression
Utility,0.0,0.0,0.0,2.0,logistic_regression
Entity,0.75,0.8571428571428571,0.7999999999999999,7.0,logistic_regression
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,logistic_regression
macro avg,0.5092592592592592,0.5773809523809524,0.5411764705882353,17.0,logistic_regression
weighted avg,0.6748366013071895,0.7647058823529411,0.7169550173010381,17.0,logistic_regression
Application,0.7777777777777778,0.875,0.823529411764706,8.0,gaussian_nb
Utility,0.0,0.0,0.0,2.0,gaussian_nb
Entity,0.75,0.8571428571428571,0.7999999999999999,7.0,gaussian_nb
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,gaussian_nb
macro avg,0.5092592592592592,0.5773809523809524,0.5411764705882353,17.0,gaussian_nb
weighted avg,0.6748366013071895,0.7647058823529411,0.7169550173010381,17.0,gaussian_nb
