label,precision,recall,f1-score,support,model_name
Application,0.7777777777777778,0.875,0.823529411764706,8.0,decision_tree
Utility,0.8,1.0,0.888888888888889,4.0,decision_tree
Entity,1.0,0.7777777777777778,0.8750000000000001,9.0,decision_tree
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,decision_tree
macro avg,0.8592592592592593,0.8842592592592592,0.8624727668845317,21.0,decision_tree
weighted avg,0.8772486772486774,0.8571428571428571,0.8580376595082478,21.0,decision_tree
Application,1.0,0.875,0.9333333333333332,8.0,svm
Utility,0.8,1.0,0.888888888888889,4.0,svm
Entity,1.0,1.0,1.0,9.0,svm
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,svm
macro avg,0.9333333333333332,0.9583333333333334,0.9407407407407408,21.0,svm
weighted avg,0.9619047619047618,0.9523809523809524,0.9534391534391534,21.0,svm
Application,0.7777777777777778,0.875,0.823529411764706,8.0,knn
Utility,0.5,0.75,0.6,4.0,knn
Entity,1.0,0.6666666666666666,0.8,9.0,knn
accuracy,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,knn
macro avg,0.7592592592592592,0.7638888888888888,0.7411764705882353,21.0,knn
weighted avg,0.8201058201058201,0.7619047619047619,0.7708683473389355,21.0,knn
Application,1.0,0.875,0.9333333333333332,8.0,logistic_regression
Utility,0.6666666666666666,1.0,0.8,4.0,logistic_regression
Entity,1.0,0.8888888888888888,0.9411764705882352,9.0,logistic_regression
accuracy,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,logistic_regression
macro avg,0.8888888888888888,0.9212962962962964,0.8915032679738563,21.0,logistic_regression
weighted avg,0.9365079365079364,0.9047619047619048,0.9112978524743232,21.0,logistic_regression
Application,1.0,1.0,1.0,8.0,gaussian_nb
Utility,1.0,0.75,0.8571428571428571,4.0,gaussian_nb
Entity,0.9,1.0,0.9473684210526316,9.0,gaussian_nb
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,gaussian_nb
macro avg,0.9666666666666668,0.9166666666666666,0.9348370927318296,21.0,gaussian_nb
weighted avg,0.9571428571428572,0.9523809523809524,0.950232724668815,21.0,gaussian_nb
Application,1.0,1.0,1.0,8.0,ensemble_learning
Utility,1.0,1.0,1.0,4.0,ensemble_learning
Entity,1.0,1.0,1.0,9.0,ensemble_learning
accuracy,1.0,1.0,1.0,1.0,ensemble_learning
macro avg,1.0,1.0,1.0,21.0,ensemble_learning
weighted avg,1.0,1.0,1.0,21.0,ensemble_learning
