label,precision,recall,f1-score,support,model_name
Application,0.8181818181818182,1.0,0.9,9.0,decision_tree
Utility,1.0,0.0,0.0,2.0,decision_tree
Entity,1.0,1.0,1.0,7.0,decision_tree
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,decision_tree
macro avg,0.9393939393939394,0.6666666666666666,0.6333333333333333,18.0,decision_tree
weighted avg,0.9090909090909092,0.8888888888888888,0.8388888888888889,18.0,decision_tree
Application,0.8181818181818182,1.0,0.9,9.0,svm
Utility,1.0,0.0,0.0,2.0,svm
Entity,1.0,1.0,1.0,7.0,svm
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,svm
macro avg,0.9393939393939394,0.6666666666666666,0.6333333333333333,18.0,svm
weighted avg,0.9090909090909092,0.8888888888888888,0.8388888888888889,18.0,svm
Application,0.9,1.0,0.9473684210526316,9.0,knn
Utility,1.0,0.0,0.0,2.0,knn
Entity,0.875,1.0,0.9333333333333332,7.0,knn
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,knn
macro avg,0.925,0.6666666666666666,0.6269005847953216,18.0,knn
weighted avg,0.901388888888889,0.8888888888888888,0.8366471734892788,18.0,knn
Application,0.8181818181818182,1.0,0.9,9.0,logistic_regression
Utility,1.0,0.0,0.0,2.0,logistic_regression
Entity,1.0,1.0,1.0,7.0,logistic_regression
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,logistic_regression
macro avg,0.9393939393939394,0.6666666666666666,0.6333333333333333,18.0,logistic_regression
weighted avg,0.9090909090909092,0.8888888888888888,0.8388888888888889,18.0,logistic_regression
Application,0.8571428571428571,0.6666666666666666,0.75,9.0,gaussian_nb
Utility,1.0,0.0,0.0,2.0,gaussian_nb
Entity,0.6363636363636364,1.0,0.7777777777777778,7.0,gaussian_nb
accuracy,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.7222222222222222,gaussian_nb
macro avg,0.8311688311688311,0.5555555555555555,0.5092592592592592,18.0,gaussian_nb
weighted avg,0.7871572871572872,0.7222222222222222,0.6774691358024691,18.0,gaussian_nb
Application,0.8181818181818182,1.0,0.9,9.0,ensemble_learning
Utility,1.0,0.0,0.0,2.0,ensemble_learning
Entity,1.0,1.0,1.0,7.0,ensemble_learning
accuracy,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888,ensemble_learning
macro avg,0.9393939393939394,0.6666666666666666,0.6333333333333333,18.0,ensemble_learning
weighted avg,0.9090909090909091,0.8888888888888888,0.8388888888888889,18.0,ensemble_learning
