label,precision,recall,f1-score,support,model_name
Application,0.3809523809523809,1.0,0.5517241379310345,8.0,svm
Utility,1.0,0.0,0.0,4.0,svm
Entity,1.0,0.0,0.0,9.0,svm
accuracy,0.3809523809523809,0.3809523809523809,0.3809523809523809,0.3809523809523809,svm
macro avg,0.7936507936507936,0.3333333333333333,0.1839080459770115,21.0,svm
weighted avg,0.764172335600907,0.3809523809523809,0.2101806239737274,21.0,svm
Application,0.7272727272727273,1.0,0.8421052631578948,8.0,knn
Utility,0.5,0.75,0.6,4.0,knn
Entity,1.0,0.4444444444444444,0.6153846153846153,9.0,knn
accuracy,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,knn
macro avg,0.7424242424242425,0.7314814814814815,0.68582995951417,21.0,knn
weighted avg,0.800865800865801,0.7142857142857143,0.6988239830345093,21.0,knn
Application,0.3809523809523809,1.0,0.5517241379310345,8.0,logistic_regression
Utility,1.0,0.0,0.0,4.0,logistic_regression
Entity,1.0,0.0,0.0,9.0,logistic_regression
accuracy,0.3809523809523809,0.3809523809523809,0.3809523809523809,0.3809523809523809,logistic_regression
macro avg,0.7936507936507936,0.3333333333333333,0.1839080459770115,21.0,logistic_regression
weighted avg,0.764172335600907,0.3809523809523809,0.2101806239737274,21.0,logistic_regression
Application,0.8888888888888888,1.0,0.9411764705882352,8.0,gaussian_nb
Utility,0.8,1.0,0.888888888888889,4.0,gaussian_nb
Entity,1.0,0.7777777777777778,0.8750000000000001,9.0,gaussian_nb
accuracy,0.9047619047619048,0.9047619047619048,0.9047619047619048,0.9047619047619048,gaussian_nb
macro avg,0.8962962962962964,0.925925925925926,0.9016884531590414,21.0,gaussian_nb
weighted avg,0.9195767195767196,0.9047619047619048,0.902855586679116,21.0,gaussian_nb
Application,0.7777777777777778,0.875,0.823529411764706,8.0,decision_tree
Utility,1.0,0.75,0.8571428571428571,4.0,decision_tree
Entity,0.7777777777777778,0.7777777777777778,0.7777777777777778,9.0,decision_tree
accuracy,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,decision_tree
macro avg,0.8518518518518517,0.8009259259259259,0.8194833488951137,21.0,decision_tree
weighted avg,0.8201058201058201,0.8095238095238095,0.8103241296518607,21.0,decision_tree
