label,precision,recall,f1-score,support,model_name
Application,0.7272727272727273,1.0,0.8421052631578948,8.0,decision_tree
Utility,1.0,1.0,1.0,4.0,decision_tree
Entity,1.0,0.6666666666666666,0.8,9.0,decision_tree
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,decision_tree
macro avg,0.9090909090909092,0.8888888888888888,0.8807017543859649,21.0,decision_tree
weighted avg,0.8961038961038962,0.8571428571428571,0.8541353383458646,21.0,decision_tree
Application,0.8888888888888888,1.0,0.9411764705882352,8.0,svm
Utility,1.0,0.75,0.8571428571428571,4.0,svm
Entity,1.0,1.0,1.0,9.0,svm
accuracy,0.9523809523809524,0.9523809523809524,0.9523809523809524,0.9523809523809524,svm
macro avg,0.9629629629629628,0.9166666666666666,0.9327731092436974,21.0,svm
weighted avg,0.9576719576719576,0.9523809523809524,0.9503801520608244,21.0,svm
Application,0.5714285714285714,1.0,0.7272727272727273,8.0,knn
Utility,0.75,0.75,0.75,4.0,knn
Entity,1.0,0.3333333333333333,0.5,9.0,knn
accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,knn
macro avg,0.7738095238095237,0.6944444444444445,0.6590909090909091,21.0,knn
weighted avg,0.7891156462585033,0.6666666666666666,0.6341991341991342,21.0,knn
Application,0.6666666666666666,1.0,0.8,8.0,logistic_regression
Utility,0.6666666666666666,0.5,0.5714285714285715,4.0,logistic_regression
Entity,1.0,0.6666666666666666,0.8,9.0,logistic_regression
accuracy,0.7619047619047619,0.7619047619047619,0.7619047619047619,0.7619047619047619,logistic_regression
macro avg,0.7777777777777777,0.7222222222222222,0.7238095238095239,21.0,logistic_regression
weighted avg,0.8095238095238095,0.7619047619047619,0.7564625850340136,21.0,logistic_regression
Application,0.8333333333333334,0.625,0.7142857142857143,8.0,gaussian_nb
Utility,1.0,0.75,0.8571428571428571,4.0,gaussian_nb
Entity,0.75,1.0,0.8571428571428571,9.0,gaussian_nb
accuracy,0.8095238095238095,0.8095238095238095,0.8095238095238095,0.8095238095238095,gaussian_nb
macro avg,0.8611111111111112,0.7916666666666666,0.8095238095238094,21.0,gaussian_nb
weighted avg,0.8293650793650794,0.8095238095238095,0.802721088435374,21.0,gaussian_nb
