label,precision,recall,f1-score,support,model_name
Application,0.6666666666666666,1.0,0.8,8.0,decision_tree
Utility,0.0,0.0,0.0,2.0,decision_tree
Entity,0.8,0.5714285714285714,0.6666666666666666,7.0,decision_tree
accuracy,0.7058823529411765,0.7058823529411765,0.7058823529411765,0.7058823529411765,decision_tree
macro avg,0.4888888888888889,0.5238095238095238,0.4888888888888889,17.0,decision_tree
weighted avg,0.6431372549019608,0.7058823529411765,0.6509803921568628,17.0,decision_tree
Application,0.7777777777777778,0.875,0.823529411764706,8.0,svm
Utility,0.0,0.0,0.0,2.0,svm
Entity,0.75,0.8571428571428571,0.7999999999999999,7.0,svm
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,svm
macro avg,0.5092592592592592,0.5773809523809524,0.5411764705882353,17.0,svm
weighted avg,0.6748366013071895,0.7647058823529411,0.7169550173010381,17.0,svm
Application,0.7777777777777778,0.875,0.823529411764706,8.0,knn
Utility,0.0,0.0,0.0,2.0,knn
Entity,0.75,0.8571428571428571,0.7999999999999999,7.0,knn
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,knn
macro avg,0.5092592592592592,0.5773809523809524,0.5411764705882353,17.0,knn
weighted avg,0.6748366013071895,0.7647058823529411,0.7169550173010381,17.0,knn
Application,0.7777777777777778,0.875,0.823529411764706,8.0,logistic_regression
Utility,0.0,0.0,0.0,2.0,logistic_regression
Entity,0.75,0.8571428571428571,0.7999999999999999,7.0,logistic_regression
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,logistic_regression
macro avg,0.5092592592592592,0.5773809523809524,0.5411764705882353,17.0,logistic_regression
weighted avg,0.6748366013071895,0.7647058823529411,0.7169550173010381,17.0,logistic_regression
Application,0.7777777777777778,0.875,0.823529411764706,8.0,gaussian_nb
Utility,0.0,0.0,0.0,2.0,gaussian_nb
Entity,0.75,0.8571428571428571,0.7999999999999999,7.0,gaussian_nb
accuracy,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,gaussian_nb
macro avg,0.5092592592592592,0.5773809523809524,0.5411764705882353,17.0,gaussian_nb
weighted avg,0.6748366013071895,0.7647058823529411,0.7169550173010381,17.0,gaussian_nb
